point,area,type,months,total1,total2,monthly1,monthly2
中國鋼鐵股份有限公司職工福利委員會附設高雄市私立中鋼幼兒園,小港區,準公共化,12,228888,9100,19074,758
中山學校財團法人高雄市中山高級工商職業學校附屬私立中山幼兒園,大寮區,私立,12,276000,19200,23000,1600
中山學校財團法人高雄市中山高級工商職業學校附屬高雄市私立進學非營利幼兒園（高雄市政府委託辦理）,大寮區,非營利,12,71556,0,5963,0
右昌基督長老教會附設高雄市私立右光幼兒園,楠梓區,準公共化,12,196632,9000,16386,750
國立中山大學附設高雄市私立幼兒園,鼓山區,私立,10,196000,0,19600,0
日月光集團聯合職工福利委員會附設高雄市私立三好幼兒園,楠梓區,私立,12,264000,24000,22000,2000
正修學校財團法人正修科技大學附設高雄市私立正修幼兒園,鳥松區,私立,12,260000,0,21667,0
私立大榮高級中學附設高雄市幼兒園,鼓山區,私立,12,360000,0,30000,0
私立復華高級中學附設高雄市幼兒園,苓雅區,私立,12,273880,0,22823,0
私立輔英科技大學附設高雄市幼兒園,大寮區,準公共化,12,284160,9000,23680,750
義大醫療財團法人附設高雄市私立義大醫療幼兒園,燕巢區,私立,12,244000,12960,20333,1080
舊城基督長老教會附設高雄市私立左營幼兒園,左營區,準公共化,12,194000,0,16167,0
財團法人中華基督教衛理公會附設高雄市私立衛理幼兒園,新興區,私立,12,232000,0,19333,0
財團法人中華民國佛教慈濟慈善事業基金會附設高雄市私立高雄大愛幼兒園,三民區,私立,12,247200,0,20600,0
財團法人台灣中油股份有限公司職工福利委員會附設高雄市私立煉油廠幼兒園,楠梓區,私立,12,166664,0,13889,0
財團法人台灣聖公會附設高雄市私立聖保羅幼兒園,三民區,私立,12,266800,10560,22233,880
財團法人台灣聖公會附設高雄市私立聖公會幼兒園,茄萣區,私立,12,259200,0,21600,0
財團法人國聖文教基金會附設高雄市私立聖馨國際幼兒園,三民區,私立,12,412000,24000,34333,2000
財團法人天主教奧思會附設高雄市私立理達幼兒園,林園區,準公共化,12,209080,12000,17423,1000
財團法人天主教會高雄教區附設高雄市私立善牧幼兒園,鳳山區,私立,12,216000,24000,18000,2000
財團法人天主教會高雄教區附設高雄市私立海星幼兒園,旗津區,準公共化,12,191200,0,15933,0
財團法人天主教會高雄教區附設高雄市私立道明幼兒園,橋頭區,準公共化,12,201400,9000,16783,750
財團法人天主教會高雄教區附設高雄市私立露庇幼兒園,梓官區,私立,12,124800,0,10400,0
財團法人天主教聖母無原罪方濟傳教修女會附設高雄市私立樂仁幼兒園,苓雅區,私立,10,278000,11000,27800,1100
財團法人福智文教基金會附設高雄市私立妙善幼兒園,前鎮區,私立,12,240000,0,20000,0
財團法人福智文教基金會附設高雄市私立妙慧幼兒園,鼓山區,準公共化,12,248784,0,20732,0
財團法人私立高雄醫學大學附設高雄市私立高醫幼兒園,三民區,私立,12,174000,0,14500,0
財團法人聖徒會附設高雄市私立曉明幼兒園,三民區,準公共化,12,216832,9000,18069,750
財團法人親親文教基金會附設高雄市私立親親幼兒園,鳳山區,私立,12,252000,0,21000,0
