title,city,town,type,address,tel,url,count_approved,pre_public,is_free5,is_after,penalty,has_slip
澎湖縣馬公市中正國民小學附設幼兒園,澎湖縣,馬公市,公立,[880]民生路38號,(06)9272758#3107,,90,無,(109),無,無,yes
澎湖縣馬公市立幼兒園,澎湖縣,馬公市,公立,[880]104-14號,(06)9213082,event.penghu.gov.tw/Kmarkun/index.jsp,888,無,(109),無,無,yes
澎湖縣馬公市立幼兒園東衛分班,澎湖縣,馬公市,公立,[880]86-10號,(06)9213082,event.penghu.gov.tw/Kmarkun/index.jsp,865,無,(109),無,無,yes
澎湖縣馬公市立幼兒園澎南分班,澎湖縣,馬公市,公立,[880]19號,(06)9952095,event.penghu.gov.tw/Kmarkun/index.jsp,621,無,(109),無,無,yes
澎湖縣馬公市馬公國民小學附設幼兒園,澎湖縣,馬公市,公立,[880]明遠路2號,(06)9267845,http://www.mkps.phc.edu.tw/,90,無,(109),無,無,yes
澎湖縣馬公市中興國民小學附設幼兒園,澎湖縣,馬公市,公立,[880]光復路186號,(06)9272779#3104,http://www.chps.phc.edu.tw/,60,無,(109),無,無,yes
澎湖縣私立馬幼幼兒園,澎湖縣,馬公市,私立,[880]新生路8號,(06)9261379,,155,110-112,(109),無,無,yes
澎湖縣私立至美幼兒園,澎湖縣,馬公市,私立,[880]四維路338號,(06)9265838,,286,無,(109),無,無,yes
澎湖縣私立明穗幼兒園,澎湖縣,馬公市,私立,[880]惠民二村22號,(06)9265126,,116,無,(109),有,無,yes
澎湖縣私立明圓幼兒園,澎湖縣,馬公市,私立,[880]32-20號,(06)9210436,,425,110-112,(109),有,無,yes
澎湖縣私立耕讀幼兒園,澎湖縣,馬公市,私立,[880]四維路36號,(06)9267001,http://www.gengdou.com,356,110-112,(109),有,無,yes
澎湖縣西嶼鄉池東國民小學附設幼兒園,澎湖縣,西嶼鄉,公立,[881]104號,(06)9983301#26,https://www.facebook.com/%E6%B1%A0%E5%B9%BC%E5%AE%B6%E6%97%8F-129256474366339/,30,無,(109),無,無,yes
澎湖縣西嶼鄉立幼兒園,澎湖縣,西嶼鄉,公立,[881]4之28號,(06)9981244,,459,無,(109),無,無,yes
澎湖縣西嶼鄉立幼兒園竹灣分班,澎湖縣,西嶼鄉,公立,[881]15之9號,(06)9981105,,184,無,(109),無,無,yes
澎湖縣望安鄉將軍國民小學附設幼兒園,澎湖縣,望安鄉,公立,[882]12-8號,(06)9902360,,30,無,(109),無,無,yes
澎湖縣望安鄉望安國民小學附設幼兒園,澎湖縣,望安鄉,公立,[882]46號,(06)9991931,http://www.waps.phc.edu.tw/kindergarden/,30,無,(109),無,無,yes
澎湖縣望安鄉花嶼國民小學附設幼兒園,澎湖縣,望安鄉,公立,[882]2號,(06)9991740,http://www.hyps.phc.edu.tw/,30,無,(109),無,無,yes
澎湖縣七美鄉七美國民小學附設幼兒園,澎湖縣,七美鄉,公立,[883]1號,(06)9971926,http://www.cmps.phc.edu.tw/index930827.htm,60,無,(109),無,無,yes
澎湖縣白沙鄉吉貝國民小學附設幼兒園,澎湖縣,白沙鄉,公立,[884]8號,(06)9911086#14,884澎湖縣白沙鄉吉貝村8號,30,無,(109),無,無,yes
澎湖縣白沙鄉赤崁國民小學附設幼兒園,澎湖縣,白沙鄉,公立,[884]370號,(06)9931048#29,,30,無,(109),無,無,yes
澎湖縣白沙鄉立幼兒園,澎湖縣,白沙鄉,公立,[884]小赤崁村51-7號,(06)9932637,白沙鄉小赤村51-7號,530,無,(109),無,無,yes
澎湖縣白沙鄉立幼兒園吉貝分班,澎湖縣,白沙鄉,公立,[884]2之5號,(06)9911478,,45,無,(109),無,無,yes
澎湖縣白沙鄉鳥嶼國民小學附設幼兒園,澎湖縣,白沙鄉,公立,[884]57號,(06)9916265,,30,無,(109),無,無,yes
澎湖縣湖西鄉隘門國民小學附設幼兒園,澎湖縣,湖西鄉,公立,[885]15號,(06)9212692#40,,30,無,(109),無,無,yes
澎湖縣湖西鄉沙港國民小學附設幼兒園,澎湖縣,湖西鄉,公立,[885]75號,(06)9215761,www.skps.phc.edu.tw,30,無,(109),無,無,yes
澎湖縣湖西鄉立幼兒園,澎湖縣,湖西鄉,公立,[885]180號,(06)9921597,,971,無,(109),無,無,yes
澎湖縣湖西鄉湖西國民小學附設幼兒園,澎湖縣,湖西鄉,公立,[885]151號,(06)9921955,www.hsps.phc.edu.tw,30,無,(109),無,無,yes
