reg_no,reg_docno,reg_date,title,owner,city,town,type,address,floor,size,size_in,size_out,tel,url,count_approved,shuttle,pre_public,is_free5,is_after,penalty,has_slip
北市幼兒園證字第175-4號,北市教幼字第09740513900號,1986/08/01,臺北市中正區螢橋國民小學附設幼兒園,劉慧梅,臺北市,中正區,公立,[100]詔安街29號1樓,1樓,"1,626.75平方公尺","1,086.75平方公尺",540平方公尺,(02)23048543#30,www.yces.tp.edu.tw,136,,無,,無,無,no
北市幼兒園證字第173-1號,北市教幼字第09740513900號,1949/08/01,臺北市中正區國語實驗國民小學附設幼兒園,丁一航,臺北市,中正區,公立,[100]重慶南路二段14之4號1樓至2樓,1樓至2樓,"2,182.225平方公尺",341.86平方公尺,"1,840.365平方公尺",(02)23118126#19,http://www.meps.tp.edu.tw,180,,無,,無,無,no
北市幼兒園證字第405-2號,北市教幼字第09740513900號,1987/08/01,臺北市中正區東門國民小學附設幼兒園,謝明燕,臺北市,中正區,公立,[100]仁愛路一段2之4號,1樓、2樓,"1,297.2平方公尺",869.2平方公尺,428平方公尺,(02)23412051#36,http://tmw5.tmps.tp.edu.tw/happy2/148/main/Default.asp,150,,無,,無,無,no
北市幼兒園證字第404-2號,北市教幼字第09740513900號,1970/01/01,臺北市中正區忠義國民小學附設幼兒園,黃志勇,臺北市,中正區,公立,[100]中華路二段307巷17號1樓,一樓,"3,329平方公尺","1,329平方公尺","2,000平方公尺",(02)23038305,www.cips.tp.edu.tw,60,,無,,無,無,no
北市幼兒園證字第406-3號,北市教幼字第09740513900號,1970/01/01,臺北市中正區河堤國民小學附設幼兒園,林其賢,臺北市,中正區,公立,[100]汀州路二段180號1樓,1樓,630平方公尺,315平方公尺,315平方公尺,(02)23677144#175,http://www.htps.tp.edu.tw,120,,無,,無,無,no
北市幼兒園證字第354-2號,北市教幼字第09740513900號,1987/08/01,臺北市中正區忠孝國民小學附設幼兒園,賴延彰,臺北市,中正區,公立,[100]忠孝東路二段101號1樓,1樓,322.54平方公尺,174.54平方公尺,148平方公尺,(02)23918170#871,http://www.ches.tp.edu.tw/,60,,無,,無,無,no
北市幼兒園證字第220-2號,北市教幼字第09740513900號,1970/01/01,臺北市立大學附設實驗國民小學附設幼兒園,邱世明,臺北市,中正區,公立,[100]公園路29號1樓,1樓,"4,000平方公尺","1,075平方公尺","2,925平方公尺",(02)23117991,http://estmue-kinder.blogspot.tw/,180,,無,,無,無,no
北市幼兒園證字第324-3號,北市社人字第39669號,1975/12/12,臺北市立中正幼兒園,蕭淑芬,臺北市,中正區,公立,[100]濟南路二段46號2樓,2樓,"1,105平方公尺","1,105平方公尺",,(02)23933620,http://www.zzdn.taipei.gov.tw,150,,無,,無,無,no
北市幼兒園證字第740-1號,北市教前字第10339178100號,2014/08/01,臺北市中正區南門國民小學附設幼兒園,張秀潔,臺北市,中正區,公立,[100]廣州街6號,1樓、1F,579.58平方公尺,330.73平方公尺,248.85平方公尺,(02)23715052#801,http://web.nmes.tp.edu.tw/happy2/170/main/Default.asp,60,,無,,無,無,no
北市幼兒園證字第157號,北市社五字第09331878200號,1970/01/01,臺北市私立南門幼兒園,謝麗容,臺北市,中正區,私立,[100]重慶南路三段27巷4號1樓,1樓,167.35平方公尺,95.1平方公尺,72.25平方公尺,(02)23910571,http://nm.topschool.com.tw,35,,無,,無,無,no
北市幼兒園證字第174-2號,北市教國字第31879號,1976/09/24,財團法人中華基督教衛理公會附設臺北市私立城中衛理幼兒園,,臺北市,中正區,私立,[100]寧波東街9巷6號1樓,1樓,376.6平方公尺,157.91平方公尺,218.69平方公尺,(02)23952273,htt://www.23952273.woby.tw,90,,110-112,,無,無,no
