title,city,town,type,address,tel,url,count_approved,pre_public,is_free5,is_after,penalty,has_slip
臺中市中區光復國民小學附設幼兒園,臺中市,中區,公立,[400]三民路二段148號,(04)22263630,http://web.gfes.tc.edu.tw,210,無,(110),無,無,yes
臺中市東區臺中國民小學附設幼兒園,臺中市,東區,公立,[401]大公街100號,(04)22815312,http://home.kimo.com.tw/tceskid/p3.htm,120,無,(110),無,無,yes
臺中市東區大智國民小學附設幼兒園,臺中市,東區,公立,[401]大智路359號,(04)22804546#10,http://tw.pre.urlifelinks.com/school/dzes-tc,152,無,(110),無,無,yes
臺中市東區成功國民小學附設幼兒園,臺中市,東區,公立,[401]旱溪西路一段300號,(04)22138203,http://140.128.179.8/~ckes021,60,無,(110),無,無,yes
臺中市東區力行國民小學附設幼兒園,臺中市,東區,公立,[401]進化路223號,(04)23604412#770,https://sites.google.com/a/lxes.tc.edu.tw/kid/,90,無,(110),無,無,yes
臺中市東區進德國民小學附設幼兒園,臺中市,東區,公立,[401]進化路135號,(04)22135723#790,140.128.182.12/eweb/jdestc,120,無,(110),無,無,yes
臺中市東區樂業國民小學附設幼兒園,臺中市,東區,公立,[401]樂業路60號,(04)22137569#770,http://www.lyes.tc.edu.tw/calasshome/kid,90,無,(110),無,無,yes
臺中市私立甲子園幼兒園,臺中市,東區,私立,[401]長福路243號,(04)22110858,http://www.jzyuan.org/,110,110-112,(110),無,無,yes
臺中市私立地球村幼兒園,臺中市,東區,私立,[401]東英十五街155號,(04)22133931,http://www.jzyuan.org/,150,110-112,(110),無,無,yes
財團法人中華基督教衛理公會附設臺中市私立衛道幼兒園,臺中市,東區,私立,[401]力行路69號,(04)23605672,http://weidau.topschool.com.tw,120,110-112,(110),有,無,yes
臺中市私立瑞光基金會附設瑞光幼兒園,臺中市,東區,私立,[401]建德街387號,(04)22110419,,130,無,(110),有,無,yes
臺中市私立東區劍橋幼兒園,臺中市,東區,私立,[401]東福二街9號1樓,(04)22816001,,95,無,(110),有,無,yes
財團法人台灣省國籍主顧傳教修女會附設臺中市私立德育幼兒園,臺中市,東區,私立,[401]忠孝路197號,(04)22816879,,90,110-112,(110),無,無,yes
臺中市私立探索幼兒園,臺中市,東區,私立,[401]十甲東路729號,(04)22152199,http://www.discovery-kindergarten.com.tw/diskind/,300,無,(110),無,無,yes
臺中市私立米亞幼兒園,臺中市,東區,私立,[401]旱溪街360號,(04)22112115,,40,無,(110),無,無,yes
臺中市私立真善美幼兒園,臺中市,東區,私立,"[401]建興街44號1,2樓",(04)22806398,,60,110-112,(110),無,無,yes
臺中市私立常春藤幼兒園,臺中市,東區,私立,[401]龍安街69號,(04)22151300,http://ivy.ieschool.com.tw,90,110-112,(110),無,無,yes
臺中市私立保進幼兒園,臺中市,東區,私立,"[401]十甲東路816號1,2樓",(04)22153086,,220,無,(110),無,無,yes
臺中市私立貝登堡東英幼兒園,臺中市,東區,私立,"[401]東英路456號1,2樓",(04)22139999,,330,無,(110),無,無,yes
臺中市私立德蕾莎幼兒園,臺中市,東區,私立,[401]進化路221巷25號,(04)23605567,http://tep.topschool.com.tw/,60,無,(110),無,無,yes
臺中市私立天擎幼兒園,臺中市,東區,私立,[401]六順路141號,(04)22800738,,218,無,(110),無,有,yes
臺中市私立世紀奎幼兒園,臺中市,東區,私立,[401]忠孝路268號,(04)22805771,,96,無,(110),無,有,yes
國立中興大學附屬臺中高級農業職業學校員工子女非營利幼兒園（委託臺中市興幼教育學會辦理）,臺中市,東區,非營利,[401]台中路283號,(04)22810010#586,,80,無,(110),無,無,yes
臺中市東峰非營利幼兒園(委託財團法人宏觀文教基金會辦理),臺中市,東區,非營利,[401]仁和路330號,(04)22805517,臺中市東區仁和路330號,106,無,(110),無,無,yes
臺中市東英非營利幼兒園(委託財團法人宏觀文教基金會辦理),臺中市,東區,非營利,[401]旱溪街506號,(04)22137807,臺中市東區東英里17鄰旱溪街506號,332,無,(110),無,無,yes
臺中市南區國光國民小學附設幼兒園,臺中市,南區,公立,[402]國光路261號,(04)22872475#776,,106,無,(110),無,無,yes
臺中市南區和平國民小學附設幼兒園,臺中市,南區,公立,[402]復興路二段57號,(04)22613139#797,www.tceb.edu.tw,120,無,(110),無,無,yes
臺中市南區信義國民小學附設幼兒園,臺中市,南區,公立,[402]五權南路325號,(04)22625452,http://www.xyes.tc.edu.tw/,90,無,(110),無,無,yes
臺中市私立西雅圖幼兒園,臺中市,南區,私立,[402]南昌街55號1-2樓,(04)22635789,,125,110-112,(110),無,無,yes
臺中市私立采禾幼兒園,臺中市,南區,私立,[402]復興北路400號,(04)22657670,http://www.chi-he.com.tw,240,無,(110),無,無,yes
臺中市私立南區曼哈頓幼兒園,臺中市,南區,私立,[402]高工路149、151號1-3樓,(04)22601111,,292,無,(110),有,無,yes
臺中市私立布拉格幼兒園,臺中市,南區,私立,"[402]台中路162號1,2,3樓",(04)22872288,http://ak.blogkids.net,90,110-112,(110),有,有,yes
臺中市私立鷗森幼兒園,臺中市,南區,私立,[402]福田路88號1樓,(04)36017766,,111,無,(110),無,無,yes
臺中市私立心心幼兒園,臺中市,南區,私立,[402]學府路121號1-3樓,(04)22871207,http://sin.topschool.com.tw,179,無,(110),無,無,yes
臺中市私立開普敦幼兒園,臺中市,南區,私立,[402]高工南路55號,(04)22633366,,150,無,(110),無,無,yes
臺中市私立愛林幼兒園,臺中市,南區,私立,[402]正氣街45號,(04)22874571,,180,無,(110),無,無,yes
臺中市私立山育幼兒園,臺中市,南區,私立,"[402]大慶街一段61號1,2,3樓",(04)22600018,http://www.ljj.net5.tw/shanyu/Index.asp?ID=11&ID2=1,120,110-112,(110),有,無,yes
臺中市私立新衛斯理幼兒園,臺中市,南區,私立,[402]五權南一路50號1-2樓,(04)22620000,http://www.wesley1.com,410,無,(110),無,有,yes
臺中市私立加梭利幼兒園,臺中市,南區,私立,[402]復興路二段42號1樓,(04)22602327,,28,無,(110),無,無,yes
