title,city,town,type,address,tel,url,count_approved,pre_public,is_free5,is_after,penalty,has_slip
彰化縣彰化市大成國民小學附設幼兒園,彰化縣,彰化市,公立,[500]自強路303號,(04)7353457#104,dches@mail.dches.chc.edu.tw,240,無,(110),無,無,yes
彰化縣彰化市東芳國民小學附設幼兒園,彰化縣,彰化市,公立,[500]彰馬路45號,(04)7523250#724,www.tfps.chc.edu.tw,60,無,(110),無,無,yes
彰化縣彰化市忠孝國民小學附設幼兒園,彰化縣,彰化市,公立,[500]忠誠路61號,(04)7613511,http://163.23.79.193/,90,無,(110),無,無,yes
彰化縣彰化市中山國民小學附設幼兒園,彰化縣,彰化市,公立,[500]中山路二段678號,(04)7222033#18,,60,無,(110),無,無,yes
彰化縣彰化市南郭國民小學附設幼兒園,彰化縣,彰化市,公立,[500]中興路98號,(04)7280366#5021,http://163.23.80.2/select3/輔導室/new/幼稚園/index.htm,60,無,(110),無,無,yes
彰化縣彰化市立幼兒園,彰化縣,彰化市,公立,[500]長順街99號,(04)7292221,https://www.facebook.com/%E5%BD%B0%E5%8C%96%E5%B8%82%E7%AB%8B%E5%B9%BC%E5%85%92%E5%9C%92-10062748810,300,無,(110),無,無,yes
彰化縣彰化市立幼兒園介壽分班,彰化縣,彰化市,公立,[500]介壽新村241號,(04)7125706,http://preschool.changhua.gov.tw/,90,無,(110),無,無,yes
彰化縣私立先鋒幼兒園,彰化縣,彰化市,私立,[500]彰南路二段229之1號,(04)7371239,http://pioneer.woby.com.tw,150,110-112,(110),無,無,yes
彰化縣私立立大幼兒園,彰化縣,彰化市,私立,[500]泰和東街76號,(04)7265181,,90,無,(110),無,無,yes
彰化縣私立昀銛幼兒園,彰化縣,彰化市,私立,[500]山中街114號,(04)7324272,,85,110-112,(110),無,無,yes
彰化縣私立小樹苗幼兒園,彰化縣,彰化市,私立,[500]大埔路219號,(04)7118904,,40,無,(110),無,無,yes
彰化縣私立爵諾威爾幼兒園,彰化縣,彰化市,私立,[500]民族路199號,(04)7272755,,130,無,(110),有,有,yes
彰化縣私立三才幼兒園,彰化縣,彰化市,私立,[500]公園路一段323號,(04)7259555,serene5454@yahoo.com.tw,265,110-112,(110),有,有,yes
彰化縣私立南興幼兒園,彰化縣,彰化市,私立,[500]中山路1段187號,(04)7620384,http://ns888.woby.com.tw,240,110-112,(110),無,無,yes
彰化縣私立立人幼兒園,彰化縣,彰化市,私立,[500]陽明街2.4.6號,(04)7230959,http://www.lijen.com.tw,55,110-112,(110),有,無,yes
彰化縣私立威爾森幼兒園,彰化縣,彰化市,私立,[500]四維路21號,(04)7517835,http://www.wretch.cc/blog/good200863/8679647,80,無,(110),無,無,yes
彰化縣私立美利亞幼兒園,彰化縣,彰化市,私立,[500]茄苳路一段138之2號,(04)7353855,,145,110-112,(110),無,無,yes
彰化縣私立安貝兒幼兒園,彰化縣,彰化市,私立,[500]永芳路467巷28號,(04)7613955,,45,無,(110),無,無,yes
彰化縣私立探索中興幼兒園,彰化縣,彰化市,私立,[500]華山路273巷25號,(04)7290539,http://hipage.hinet.net/JONGSHING,120,110-112,(110),無,有,yes
彰化縣私立上鼎幼兒園,彰化縣,彰化市,私立,[500]中正路二段602巷6號,(04)7266263,http://www.perimeter.com.tw,50,無,(110),有,有,yes
彰化縣彰山宮文化慈善事業協會附設彰化縣私立彰山宮幼兒園,彰化縣,彰化市,私立,[500]南校街160號,(04)7281168,,160,110-112,(110),無,有,yes
彰化縣私立牛頓米羅幼兒園,彰化縣,彰化市,私立,[500]平和五街101號,(04)7627433,http//newtonmiro.net.23.net,80,110-112,(110),無,無,yes
彰化縣私立華盛頓幼兒園,彰化縣,彰化市,私立,[500]崙美路55號,(04)7633388,,30,無,(110),無,無,yes
彰化縣私立喜悅兒幼兒園,彰化縣,彰化市,私立,[500]南平街121.123.125.127號,(04)7112747,,80,無,(110),無,無,yes
彰化縣私立芝加哥幼兒園,彰化縣,彰化市,私立,[500]西勢街278號,(04)7235500,,116,無,(110),無,有,yes
彰化縣私立堉惠幼兒園,彰化縣,彰化市,私立,[500]三民路279巷1號,(04)7238849,http://yuhui.woby.tw/,80,110-112,(110),無,無,yes
彰化縣私立和平幼兒園,彰化縣,彰化市,私立,[500]福山街165巷38號,(04)7323229,http://hopingkids.blogspot.com,120,110-112,(110),無,無,yes
彰化縣私立格林幼兒園,彰化縣,彰化市,私立,[500]山中街1之5號,(04)7389952,,161,無,(110),有,無,yes
彰化縣私立山姆叔叔幼兒園,彰化縣,彰化市,私立,[500]三民路279巷5號2樓,(04)7285878,,30,110-112,(110),無,無,yes
彰化縣私立富蘭克林幼兒園,彰化縣,彰化市,私立,[500]延平路508號,(04)7125555,http://www.ykce.com.tw/,370,無,(110),無,無,yes
彰化縣私立米堤爾幼兒園,彰化縣,彰化市,私立,[500]彰南路2段73巷18號,(04)7386123,http://miter.myweb.hinet.net/,60,無,(110),無,無,yes
彰化縣私立喜悅兒曉陽幼兒園,彰化縣,彰化市,私立,[500]曉陽路180號,(04)7262745,,60,無,(110),無,無,yes
彰化縣私立探索幼兒園,彰化縣,彰化市,私立,[500]建國北路160號,(04)7233207,,188,110-112,(110),無,無,yes
彰化縣私立樂耕幼兒園,彰化縣,彰化市,私立,[500]辭修路388號,(04)7513310,www.childhouse.com.tw/index.html,100,無,(110),無,無,yes
彰化縣私立嘟嘟幼兒園,彰化縣,彰化市,私立,[500]仁愛路67巷11號,(04)7203646,,27,無,(110),無,無,yes
彰化縣私立格瑞特幼兒園,彰化縣,彰化市,私立,[500]永安街416號,(04)7330021,,180,110-112,(110),無,有,yes
彰化縣私立探索辭修幼兒園,彰化縣,彰化市,私立,[500]彰草路43之5號,(04)7636351,https://www.facebook.com/kiddieCisiu/?ref=pages_you_manage,233,無,(110),有,無,yes
