title,city,town,type,address,tel,url,count_approved,pre_public,is_free5,is_after,penalty,has_slip
臺東縣臺東市知本國民小學附設幼兒園,臺東縣,臺東市,公立,[950]知本路3段107號,(089)512234#238,,60,無,(110),無,無,yes
臺東縣臺東市豐里國民小學附設幼兒園,臺東縣,臺東市,公立,[950]中華路3段80號,(089)324040#101,http://tw.myblog.yahoo.com,60,無,(110),無,無,yes
臺東縣臺東市豐田國民小學附設幼兒園,臺東縣,臺東市,公立,[950]中興路4段750號,(089)382130,,60,無,(110),無,無,yes
臺東縣臺東市岩灣國民小學附設幼兒園,臺東縣,臺東市,公立,[950]岩灣路50巷401弄11號,(089)231424,http://210.240.127.3/,30,無,(110),無,無,yes
臺東縣臺東市新園國民小學附設幼兒園,臺東縣,臺東市,公立,[950]新園路88號,(089)382590#20,http://www.syps.ttct.edu.tw/front/bin/home.phtml,30,無,(110),無,無,yes
臺東縣臺東市復興國民小學附設幼兒園,臺東縣,臺東市,公立,[950]鐵花路87巷55號,(089)327674,http://www.fsps.ttct.edu.tw/kid/ch12.htm,30,無,(110),無,無,yes
臺東縣臺東市豐年國民小學附設幼兒園,臺東縣,臺東市,公立,[950]中興路3段320號,(089)226733#214,http://www.fnps.ttct.edu.tw/front/bin/home.phtml,60,無,(110),無,無,yes
臺東縣臺東市卑南國民小學附設幼兒園,臺東縣,臺東市,公立,[950]更生北路317號,(089)229269,http://www.bnps.ttcy.edu.tw/,60,無,(110),無,無,yes
臺東縣臺東市豐源國民小學附設幼兒園,臺東縣,臺東市,公立,[950]中華路4段392號,(089)322063,,30,無,(110),無,無,yes
臺東縣臺東市新生國民小學附設幼兒園,臺東縣,臺東市,公立,[950]更生路474巷45號,(089)345148,http://w2.ssps.ttct.edu.tw/%7Ekinder/index2.htm,30,無,(110),無,無,yes
臺東縣立四維幼兒園,臺東縣,臺東市,公立,[950]四維路一段396號,(089)323146,,180,無,(110),無,無,yes
國立臺東大學附設實驗國民小學附設幼兒園,臺東縣,臺東市,公立,[950]博愛路345號,(089)328161#871,https://nttues.nttu.edu.tw/,60,無,(110),無,無,yes
臺東縣臺東市南王國民小學附設幼兒園,臺東縣,臺東市,公立,[950]更生北路726號,(089)223203#307,,45,無,(110),無,無,yes
臺東縣臺東市富岡國民小學附設幼兒園,臺東縣,臺東市,公立,[950]松江路一段441號,(089)281431,http://a144x40.pixnet.net/album/422340,30,無,(110),無,無,yes
臺東縣臺東市建和國民小學附設幼兒園,臺東縣,臺東市,公立,[950]青海路三段640號,(089)512381#226,http://www.jhps.ttct.edu.tw/,30,無,(110),無,無,yes
臺東縣臺東市豐榮國民小學附設幼兒園,臺東縣,臺東市,公立,[950]中華路二段154巷150號,(089)323353#071,http://www.frps.ttct.edu.tw/,30,無,(110),無,無,yes
臺東縣臺東市寶桑國民小學附設幼兒園,臺東縣,臺東市,公立,[950]四維路二段23號,(089)321995,http://www.bsps.ttct.edu.tw/,60,無,(110),無,無,yes
臺東縣立新生幼兒園,臺東縣,臺東市,公立,[950]開封街490號,(089)322413,,220,無,(110),無,無,yes
臺東縣臺東市立幼兒園,臺東縣,臺東市,公立,[950]寶桑路12號,(089)320257,,195,無,(110),無,無,yes
臺東縣臺東市康樂國民小學附設幼兒園,臺東縣,臺東市,公立,[950]山西路一段256號,(089)226131#83,,60,無,(110),無,無,yes
臺東縣臺東市馬蘭國民小學附設幼兒園,臺東縣,臺東市,公立,[950]新社三街6號,(089)229437#852,,60,無,(110),無,無,yes
財團法人天主教會花蓮教區附設臺東縣私立天仁幼兒園,臺東縣,臺東市,私立,[950]新社一街5巷46號,(089)228103,http//tianrenkd.org.tw,165,無,(110),無,無,yes
臺東縣私立蒙特梭利幼兒園,臺東縣,臺東市,私立,[950]漢陽北路43號,(089)343609,,120,110-112,(110),無,無,yes
臺東縣私立蒲公英幼兒園,臺東縣,臺東市,私立,[950]傳廣路388巷11號,(089)333938,,210,110-112,(110),有,有,yes
臺東縣私立多多璐幼兒園,臺東縣,臺東市,私立,[950]咸陽街120號,(089)353289,http://totoro.woby.com.tw,196,無,(110),無,無,yes
臺東縣私立青荳芽幼兒園,臺東縣,臺東市,私立,[950]連航路89巷35號,(089)230999,,195,110-112,(110),有,無,yes
臺東縣私立東佳幼兒園,臺東縣,臺東市,私立,[950]傳廣路347號,(089)336169,台東市傳廣路３４５號,60,110-112,(110),無,無,yes
臺東縣私立福田幼兒園,臺東縣,臺東市,私立,[950]長沙街136號,(089)341117#25,,90,110-112,(110),有,無,yes
財團法人天主教會花蓮教區附設臺東縣私立天真幼兒園,臺東縣,臺東市,私立,[950]福建路181號,(089)322723,http://www.tenjen.com.tw,120,無,(110),無,無,yes
臺東縣私立高瞻幼兒園,臺東縣,臺東市,私立,[950]連航路195號,(089)232812,www.totoro.com.tw/,286,110-112,(110),有,無,yes
臺東縣私立何嘉仁幼兒園,臺東縣,臺東市,私立,[950]仁二街55號,(089)237838,,116,無,(110),有,無,yes
臺東縣私立向日葵幼兒園,臺東縣,臺東市,私立,[950]開封街280號,(089)310591,www.sunflower-kids.com.tw,240,110-112,(110),無,無,yes
臺東縣私立乖乖幼兒園,臺東縣,臺東市,私立,[950]長安街19號,(089)318318,www.kuaikuai.com.tw,180,110-112,(110),無,無,yes
臺東縣私立獅子王幼兒園,臺東縣,臺東市,私立,[950]豐榮路31號,(089)335868,,150,無,(110),無,無,yes
臺東縣私立牧笛幼兒園,臺東縣,臺東市,私立,[950]杭州街301號,(089)357623,,60,110-112,(110),無,無,yes
台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,臺東縣,臺東市,私立,[950]民航路927號,(089)331270,,136,110-112,(110),無,無,yes
臺東縣私立牧牧幼兒園,臺東縣,臺東市,私立,[950]寧波街186號1樓,(089)351356,,60,110-112,(110),無,無,yes
臺東縣私立蒲公英種子幼兒園,臺東縣,臺東市,私立,[950]傳廣路388巷36號,(089)333938,,136,110-112,(110),無,無,yes
臺東縣小鯨魚非營利幼兒園(社團法人東台灣幼兒教保專業促進協會申請辦理),臺東縣,臺東市,非營利,[950]豐盛路12之1號,(089)359262,,76,無,(110),無,無,yes
臺東縣綠島鄉綠島國民小學附設幼兒園,臺東縣,綠島鄉,公立,[951]3號,(089)672543#28,,45,無,(110),無,無,yes
臺東縣綠島鄉公館國民小學附設幼兒園,臺東縣,綠島鄉,公立,[951]98號,(089)672548#19,http://210.240.131.84/classweb/default.asp?id=098,30,無,(110),無,無,yes
臺東縣蘭嶼鄉椰油國民小學附設幼兒園,臺東縣,蘭嶼鄉,公立,[952]1號,(089)732017,,30,無,(110),無,無,yes
臺東縣蘭嶼鄉朗島國民小學附設幼兒園,臺東縣,蘭嶼鄉,公立,[952]17號,(089)732109#208,http://www.lodps.ttct.edu.tw/,30,無,(110),無,無,yes
臺東縣蘭嶼鄉東清國民小學附設幼兒園,臺東縣,蘭嶼鄉,公立,[952]1號,(089)732989#20,http://210.240.139.91/classpage2/Homepage.php?teacher_id=4,30,無,(110),無,無,yes
臺東縣蘭嶼部落互助教保服務中心（財團法人基督教蘭恩文教基金會辦理）,臺東縣,蘭嶼鄉,私立,[952]漁人147號,(089)732567,,30,無,(110),無,無,yes
臺東縣延平鄉紅葉國民小學附設幼兒園,臺東縣,延平鄉,公立,[953]紅谷路1號,(089)561015#19,www.hyps.ttct.edu.tw,30,無,(110),無,無,yes
臺東縣延平鄉桃源國民小學附設幼兒園,臺東縣,延平鄉,公立,[953]昇平路84號,(089)561488,http://www.toyps.ttct.edu.tw/,30,無,(110),無,無,yes
臺東縣延平鄉鸞山國民小學附設幼兒園,臺東縣,延平鄉,公立,[953]14號,(089)568177,http://www.lsps.ttct.edu.tw/front/bin/home.phtml,30,無,(110),無,無,yes
臺東縣延平鄉武陵國民小學附設幼兒園,臺東縣,延平鄉,公立,[953]16號,(089)550039,http://www.wlps.ttct.edu.tw,30,無,(110),無,無,yes
臺東縣延平鄉立幼兒園,臺東縣,延平鄉,公立,[953]泰平路89-1號,(089)550585,,45,無,(110),無,無,yes
臺東縣卑南鄉初鹿國民小學附設幼兒園,臺東縣,卑南鄉,公立,[954]梅園路97號,(089)572261#17,,30,無,(110),無,無,yes
臺東縣卑南鄉太平國民小學附設幼兒園,臺東縣,卑南鄉,公立,[954]6號,(089)385052,,60,無,(110),無,無,yes
臺東縣卑南鄉利嘉國民小學附設幼兒園,臺東縣,卑南鄉,公立,[954]666號,(089)380121#307,www.ljps.ttct.edu.tw,30,無,(110),無,無,yes
臺東縣卑南鄉大南國民小學附設幼兒園,臺東縣,卑南鄉,公立,[954]東園一街40號,(089)383662,http://www.wretch.cc/blog/danan225,30,無,(110),無,無,yes
臺東縣卑南鄉溫泉國民小學附設幼兒園,臺東縣,卑南鄉,公立,[954]溫泉路291號,(089)512258,http://www.ucps.ttct.edu.tw/front/bin/home.phtml,60,無,(110),無,無,yes
臺東縣卑南鄉賓朗國民小學附設幼兒園,臺東縣,卑南鄉,公立,[954]474巷2號,(089)224129,,30,無,(110),無,無,yes
臺東縣卑南鄉富山國民小學附設幼兒園,臺東縣,卑南鄉,公立,[954]漁場66號,(089)281086#17,www.fses.ttct.edu.tw,30,無,(110),無,無,yes
臺東縣卑南鄉東成國民小學附設幼兒園,臺東縣,卑南鄉,公立,[954]班鳩92號,(089)571124#220,,30,無,(110),無,無,yes
臺東縣卑南部落互助教保服務中心(東台灣幼兒教保專業促進協會辦理),臺東縣,卑南鄉,私立,[954]泰安1號,(089)384187,,30,無,(110),無,無,yes
臺東縣鹿野鄉瑞豐國民小學附設幼兒園,臺東縣,鹿野鄉,公立,[955]中山路67號,(089)581118#28,,30,無,(110),無,無,yes
臺東縣鹿野鄉瑞源國民小學附設幼兒園,臺東縣,鹿野鄉,公立,[955]文化路67號,(089)581064,,30,無,(110),無,無,yes
臺東縣鹿野鄉永安國民小學附設幼兒園,臺東縣,鹿野鄉,公立,[955]鹿寮路31號,(089)551172,,30,無,(110),無,無,yes
臺東縣鹿野鄉鹿野國民小學附設幼兒園,臺東縣,鹿野鄉,公立,[955]中華路一段402號,(089)550926,http://www.lyes.ttct.edu.tw/front/bin/home.phtml,30,無,(110),無,無,yes
臺東縣鹿野鄉龍田國民小學附設幼兒園,臺東縣,鹿野鄉,公立,[955]光榮路236號,(089)550747,http://css000000149791.tw.class.uschoolnet.com/,30,無,(110),無,無,yes
臺東縣鹿野鄉立幼兒園,臺東縣,鹿野鄉,公立,[955]瑞景路1段23巷9號,(089)580309,,140,無,(110),無,無,yes
臺東縣關山鎮電光國民小學附設幼兒園,臺東縣,關山鎮,公立,[956]中興路93號,(089)951142#27,http://www.tkes.ttct.edu.tw/front/bin/home.phtml,30,無,(110),無,無,yes
臺東縣關山鎮德高國民小學附設幼兒園,臺東縣,關山鎮,公立,[956]永豐16號,(089)931149#222,,30,無,(110),無,無,yes
臺東縣關山鎮關山國民小學附設幼兒園,臺東縣,關山鎮,公立,[956]中華路101號,(089)813152,,60,無,(110),無,無,yes
臺東縣關山鎮月眉國民小學附設幼兒園,臺東縣,關山鎮,公立,[956]盛豐1號,(089)811074#33,www.ymps.ttct.edu.tw,30,無,(110),無,無,yes
臺東縣關山鎮立幼兒園,臺東縣,關山鎮,公立,[956]民權路52號,(089)811607,http://163.29.230.129/,60,無,(110),無,無,yes
臺東縣私立鴻德幼兒園,臺東縣,關山鎮,私立,[956]仁愛路5號,(089)812182,hpp//www/schoolbox.com.tw/xoops/,170,110-112,(110),有,無,yes
臺東縣海端鄉崁頂國民小學附設幼兒園,臺東縣,海端鄉,公立,[957]中福21號,(089)811447#18,http://www.kdps.ttct.edu.tw/front/bin/home.phtml,30,無,(110),無,無,yes
臺東縣海端鄉錦屏國民小學附設幼兒園,臺東縣,海端鄉,公立,[957]錦屏1號,(089)861762#25,,30,無,(110),無,無,yes
臺東縣海端鄉廣原國民小學附設幼兒園,臺東縣,海端鄉,公立,[957]大埔1號,(089)865261,,46,無,(110),無,無,yes
臺東縣海端鄉加拿國民小學附設幼兒園,臺東縣,海端鄉,公立,[957]加南5號,(089)811108#27,,30,無,(110),無,無,yes
臺東縣海端鄉霧鹿國民小學附設幼兒園,臺東縣,海端鄉,公立,[957]12號,(089)935053#17,,30,無,(110),無,無,yes
臺東縣海端鄉霧鹿國民小學附設幼兒園利稻分班,臺東縣,海端鄉,公立,[957]文化路1號,(089)938178#17,,30,無,(110),無,無,yes
臺東縣海端鄉海端國民小學附設幼兒園,臺東縣,海端鄉,公立,[957]山界36號,(089)931184#20,http://blog.boe.ttct.edu.tw/blog/144x23/weblog/index.php,30,無,(110),無,無,yes
