title,city,town,type,address,tel,url,count_approved,pre_public,is_free5,is_after,penalty,has_slip
花蓮縣花蓮市國福國民小學附設幼兒園,花蓮縣,花蓮市,公立,[970]福光街277巷1號,(03)8561395#101,,30,無,(110),無,無,yes
花蓮縣花蓮市忠孝國民小學附設幼兒園,花蓮縣,花蓮市,公立,[970]中華路298號,(03)8355779#101,,60,無,(110),無,無,yes
花蓮縣花蓮市中原國民小學附設幼兒園,花蓮縣,花蓮市,公立,[970]中原路531號,(03)8333547#200,http://www.cyps.hlc.edu.tw/,90,無,(110),無,無,yes
花蓮縣花蓮市明義國民小學附設幼兒園,花蓮縣,花蓮市,公立,[970]建林街163之1號,(03)8351063,http://210.240.77.137/teach/000/index.htm,210,無,(110),無,無,yes
花蓮縣花蓮市明禮國民小學附設幼兒園,花蓮縣,花蓮市,公立,[970]中正路596號,(03)8339200#208,210.240.69.4,120,無,(110),無,無,yes
花蓮縣花蓮市信義國民小學附設幼兒園,花蓮縣,花蓮市,公立,[970]信義街1號,(03)8331163#219,http://tw.class.uschoolnet.com/class/?csid=css000000124807,30,無,(110),無,無,yes
花蓮縣花蓮市中華國民小學附設幼兒園,花蓮縣,花蓮市,公立,[970]國盛二街22號,(03)8324308#119,,60,無,(110),無,無,yes
花蓮縣花蓮市北濱國民小學附設幼兒園,花蓮縣,花蓮市,公立,[970]北濱街113號,(03)8324093#17,lhttp://www.bbps.hlc.edu.tw/home/kids/,30,無,(110),無,無,yes
花蓮縣花蓮市立幼兒園,花蓮縣,花蓮市,公立,[970]和平路705號,(03)8320245,,330,無,(110),無,無,yes
國立東華大學附設實驗國民小學附設幼兒園,花蓮縣,花蓮市,公立,[970]民權九街10號,(03)8222344#360,http://tw.class.urlifelinks.com/class/?csid=css000000012136,60,無,(110),無,無,yes
花蓮縣花蓮市鑄強國民小學附設幼兒園,花蓮縣,花蓮市,公立,[970]永興路20號,(03)8223787#25,http://210.240.104.4/hujlan/kids/index.htm,60,無,(110),無,無,yes
花蓮縣花蓮市明恥國民小學附設幼兒園,花蓮縣,花蓮市,公立,[970]中興路41號,(03)8222231#151,,90,無,(110),無,無,yes
花蓮縣花蓮市明廉國民小學附設幼兒園,花蓮縣,花蓮市,公立,[970]中山路903號,(03)8569088#18,,106,無,(110),無,無,yes
花蓮縣花蓮市復興國民小學附設幼兒園,花蓮縣,花蓮市,公立,[970]府前路682號,(03)8223208#28,http://www.fshps.hlc.edu.tw/index.php,30,無,(110),無,無,yes
花蓮縣私立小樹幼兒園,花蓮縣,花蓮市,私立,[970]國盛二街27號,(03)8345306,http://a83053a2000.myweb.hinet.net,105,110-112,(110),無,無,yes
