reg_no,reg_docno,reg_date,title,owner,city,town,type,address,floor,size,size_in,size_out,tel,url,count_approved,shuttle,pre_public,is_free5,is_after,penalty,has_slip
府教學前字第1080004347號,府勞社福字第0980131943號,2008/02/17,苗栗縣竹南鎮立幼兒園,方進興,苗栗縣,竹南鎮,公立,[350]龍江街73巷61弄21號,1樓、2樓、3樓,"1,671.49平方公尺","1,360.68平方公尺",310.81平方公尺,(037)475865,,150,,無,,無,無,yes
府教學前字第1090172475B號,府教學前字第1010165223號,2012/08/01,苗栗縣竹南鎮大埔國民小學附設幼兒園,徐臻輝,苗栗縣,竹南鎮,公立,[350]仁愛路1092號,1樓,"24,218平方公尺",132.3平方公尺,"18,570平方公尺",(037)581976,苗栗縣竹南鎮大埔里仁愛路1092號,60,,無,,無,無,yes
府教學前字第1090171461C號,府教學前字第1030053596B號,2014/08/01,苗栗縣竹南鎮頂埔國民小學附設幼兒園,黃淑婉,苗栗縣,竹南鎮,公立,[350]中華路110號,1樓,"19,697平方公尺",126平方公尺,"19,571平方公尺",(037)671785,,60,,無,,無,無,yes
府教學前字第1010098604號,府教國字第35737號,1976/06/20,財團法人苗栗縣私立文鳥幼兒園,,苗栗縣,竹南鎮,私立,[350]和平街47號,1樓,556.6平方公尺,302平方公尺,254.6平方公尺,(037)475284,,90,"		",110-112,,無,無,yes
府教學前字第1070124755號,府教國字第99575號,1997/08/13,苗栗縣私立輔仁幼兒園,陳文川,苗栗縣,竹南鎮,私立,[350]文化街39號,1樓、2樓,686平方公尺,298平方公尺,388平方公尺,(037)470374,http://susan2582.pixnet.net/blog,79,,110-112,,無,無,yes
府教學前字第1100069807號,府教特字第0940124460號,2005/10/28,苗栗縣私立惠能幼兒園,林錦霞,苗栗縣,竹南鎮,私立,[350]龍好街92號,1樓、2樓,"1,059平方公尺",660平方公尺,399平方公尺,(037)552598,http://www.hueinerng.com,105,"		",110-112,,無,無,yes
府教學前字第1030014300號,府社福字第0940065407號,2005/06/08,苗栗縣私立種子幼兒園,郭宏仁,苗栗縣,竹南鎮,私立,[350]光德路182號,1樓,834.51平方公尺,215.64平方公尺,618.87平方公尺,(037)469320,,70,"		",110-112,,有，人數：15,有,yes
府教學前字第1020050604號,府社福字第0930102005號,2004/09/27,苗栗縣私立尼采幼兒園,許鴻信,苗栗縣,竹南鎮,私立,[350]明禮街95巷1號,1樓,783平方公尺,234平方公尺,549平方公尺,(037)476930,,110,"		",110-112,,有，人數：30,無,yes
府教學前字第1010117566號,90府社福字第9000056648號,2001/06/27,苗栗縣私立佳聲幼兒園,蔡丁財,苗栗縣,竹南鎮,私立,[350]維新路435號,1-3,"1,428平方公尺","1,256平方公尺",172平方公尺,(037)621498,,180,"		",110-112,,有，人數：60,無,yes
府教學前字第1010045072號,89府社福字第8900086191號,2000/10/12,苗栗縣私立智慧幼兒園,鍾文譯,苗栗縣,竹南鎮,私立,[350]照南路177號,1-3,516平方公尺,422平方公尺,94平方公尺,(037)478086,,70,,110-112,,有，人數：25,無,yes
