point,area,type,months,total1,total2,monthly1,monthly2
國立屏東大學附設實驗國民小學附設幼兒園,屏東市,公立,8,33440,200,4180,25
國立屏東科技大學附設屏東縣私立屏科大幼兒園,內埔鄉,私立,12,63700,0,5308,0
屏東縣三地門鄉口社國民小學附設幼兒園,三地門鄉,公立,8,27906,0,3488,0
屏東縣三地門鄉地磨兒國民小學附設幼兒園,三地門鄉,公立,8,25160,0,3145,0
屏東縣三地門鄉地磨兒國民小學附設幼兒園德文分班,三地門鄉,公立,8,25160,0,3145,0
屏東縣三地門鄉立幼兒園,三地門鄉,公立,10,26000,0,2600,0
屏東縣三地門鄉立幼兒園口社分班,三地門鄉,公立,10,26000,0,2600,0
屏東縣三地門鄉立幼兒園青山分班,三地門鄉,公立,10,26000,0,2600,0
屏東縣三地門鄉立幼兒園青葉分班,三地門鄉,公立,10,26000,0,2600,0
屏東縣三地門鄉賽嘉國民小學附設幼兒園,三地門鄉,公立,8,28440,0,3555,0
屏東縣三地門鄉青山國民小學附設幼兒園,三地門鄉,公立,8,28260,0,3533,0
屏東縣三地門鄉青葉國民小學附設幼兒園,三地門鄉,公立,8,28400,200,3550,25
屏東縣三地門鄉馬兒社區互助教保服務中心(三地門鄉馬兒社區發展協會),三地門鄉,私立,12,54878,0,4573,0
屏東縣九如鄉九如國民小學附設幼兒園,九如鄉,公立,8,30428,0,3804,0
屏東縣九如鄉後庄國民小學附設幼兒園,九如鄉,公立,8,30910,200,3864,25
屏東縣仙吉非營利幼兒園(委託財團法人輔英科技大學設立之輔英科技大學辦理),新園鄉,非營利,12,105120,0,8760,0
屏東縣佳冬鄉佳冬國民小學附設幼兒園,佳冬鄉,公立,8,31100,200,3888,25
屏東縣佳冬鄉塭子國民小學附設幼兒園,佳冬鄉,公立,8,27302,0,3413,0
屏東縣佳冬鄉立幼兒園,佳冬鄉,公立,10,42900,0,4290,0
屏東縣來義鄉來義國民小學附設幼兒園,來義鄉,公立,8,27880,0,3485,0
屏東縣來義鄉南和國民小學附設幼兒園,來義鄉,公立,8,24918,0,3115,0
屏東縣來義鄉古樓國民小學附設幼兒園,來義鄉,公立,8,24850,200,3106,25
屏東縣來義鄉文樂國民小學附設幼兒園,來義鄉,公立,8,27840,0,3480,0
屏東縣來義鄉望嘉國民小學附設幼兒園,來義鄉,公立,8,19000,0,2375,0
屏東縣來義鄉立幼兒園,來義鄉,公立,12,22400,0,1867,0
屏東縣來義鄉立幼兒園義林分班,來義鄉,公立,12,22400,0,1867,0
屏東縣信義非營利幼兒園(委託財團法人大仁科技大學設立之大仁科技大學辦理),屏東市,非營利,12,114048,0,9504,0
屏東縣內埔鄉僑智國民小學附設幼兒園,內埔鄉,公立,8,33215,200,4152,25
屏東縣內埔鄉內埔國民小學附設幼兒園,內埔鄉,公立,8,34200,0,4275,0
屏東縣內埔鄉崇文國民小學附設幼兒園,內埔鄉,公立,8,33420,200,4178,25
屏東縣內埔鄉新生國民小學附設幼兒園,內埔鄉,公立,8,32685,200,4086,25
屏東縣內埔鄉東勢國民小學附設幼兒園,內埔鄉,公立,8,32800,200,4100,25
屏東縣內埔鄉東寧國民小學附設幼兒園,內埔鄉,公立,8,31200,200,3900,25
屏東縣內埔鄉榮華國民小學附設幼兒園,內埔鄉,公立,8,29000,200,3625,25
屏東縣內埔鄉泰安國民小學附設幼兒園,內埔鄉,公立,8,32050,0,4006,0
屏東縣內埔鄉豐田國民小學附設幼兒園,內埔鄉,公立,8,32400,200,4050,25
屏東縣內埔鄉隘寮國民小學附設幼兒園,內埔鄉,公立,8,31142,0,3893,0
屏東縣內埔鄉黎明國民小學附設幼兒園,內埔鄉,公立,8,34779,0,4347,0
屏東縣南州鄉南州國民小學附設幼兒園,南州鄉,公立,8,31400,0,3925,0
屏東縣南州鄉溪北國民小學附設幼兒園,南州鄉,公立,8,32394,0,4049,0
屏東縣四維非營利幼兒園(委託社團法人台灣公共托育協會辦理),萬丹鄉,非營利,12,94536,0,7878,0
屏東縣四維非營利幼兒園(委託社團法人台灣公共托育協會辦理)新興分班,萬丹鄉,非營利,12,94536,0,7878,0
屏東縣屏東市仁愛國民小學附設幼兒園,屏東市,公立,8,33440,0,4180,0
屏東縣屏東市公館國民小學附設幼兒園,屏東市,公立,8,34440,200,4305,25
屏東縣屏東市凌雲國民小學附設幼兒園,屏東市,公立,8,33900,0,4238,0
屏東縣屏東市前進國民小學附設幼兒園,屏東市,公立,8,34288,0,4286,0
屏東縣屏東市勝利國民小學附設幼兒園,屏東市,公立,8,32110,200,4014,25
屏東縣屏東市唐榮國民小學附設幼兒園,屏東市,公立,8,34212,0,4277,0
屏東縣屏東市大同國民小學附設幼兒園,屏東市,公立,8,34440,200,4305,25
屏東縣屏東市建國國民小學附設幼兒園,屏東市,公立,8,34440,200,4305,25
屏東縣屏東市民和國民小學附設幼兒園,屏東市,公立,8,35440,200,4430,25
屏東縣屏東市民生國民小學附設幼兒園,屏東市,公立,8,33900,200,4238,25
