point,area,type,months,total1,total2,monthly1,monthly2
澎湖縣七美鄉七美國民小學附設幼兒園,七美鄉,公立,9,68500,0,7611,0
澎湖縣望安鄉將軍國民小學附設幼兒園,望安鄉,公立,9,67636,200,7515,22
澎湖縣望安鄉望安國民小學附設幼兒園,望安鄉,公立,9,67600,200,7511,22
澎湖縣望安鄉花嶼國民小學附設幼兒園,望安鄉,公立,9,67636,200,7515,22
澎湖縣湖西鄉沙港國民小學附設幼兒園,湖西鄉,公立,9,67740,0,7527,0
澎湖縣湖西鄉湖西國民小學附設幼兒園,湖西鄉,公立,9,67740,0,7527,0
澎湖縣湖西鄉立幼兒園,湖西鄉,公立,10,65800,0,6580,0
澎湖縣湖西鄉隘門國民小學附設幼兒園,湖西鄉,公立,9,68500,0,7611,0
澎湖縣白沙鄉吉貝國民小學附設幼兒園,白沙鄉,公立,9,67744,200,7527,22
澎湖縣白沙鄉立幼兒園,白沙鄉,公立,10,64400,0,6440,0
澎湖縣白沙鄉立幼兒園吉貝分班,白沙鄉,公立,10,64400,0,6440,0
澎湖縣白沙鄉赤崁國民小學附設幼兒園,白沙鄉,公立,9,67740,0,7527,0
澎湖縣白沙鄉鳥嶼國民小學附設幼兒園,白沙鄉,公立,9,67780,0,7531,0
澎湖縣私立明圓幼兒園,馬公市,準公共化,12,229680,0,19140,0
澎湖縣私立明穗幼兒園,馬公市,私立,12,240000,36000,20000,3000
澎湖縣私立耕讀幼兒園,馬公市,準公共化,12,216624,0,18052,0
澎湖縣私立至美幼兒園,馬公市,私立,12,247200,36000,20600,3000
澎湖縣私立馬幼幼兒園,馬公市,準公共化,12,223200,0,18600,0
澎湖縣西嶼鄉池東國民小學附設幼兒園,西嶼鄉,公立,9,67744,200,7527,22
澎湖縣西嶼鄉立幼兒園,西嶼鄉,公立,10,55600,0,5560,0
澎湖縣西嶼鄉立幼兒園竹灣分班,西嶼鄉,公立,10,55600,0,5560,0
澎湖縣馬公市中正國民小學附設幼兒園,馬公市,公立,9,68500,200,7611,22
澎湖縣馬公市中興國民小學附設幼兒園,馬公市,公立,9,67600,0,7511,0
澎湖縣馬公市立幼兒園,馬公市,公立,11,79700,7700,7245,700
澎湖縣馬公市立幼兒園東衛分班,馬公市,公立,11,79700,7700,7245,700
澎湖縣馬公市立幼兒園澎南分班,馬公市,公立,11,79700,7700,7245,700
澎湖縣馬公市馬公國民小學附設幼兒園,馬公市,公立,9,67600,200,7511,22
