point,area,type,months,total1,total2,monthly1,monthly2
台灣中油苗栗區福利分會附設苗栗縣私立中油幼兒園,苗栗市,私立,10,116400,0,11640,0
廣亞學校財團法人育達科技大學附設苗栗縣私立廣秀森林幼兒園,造橋鄉,私立,12,348000,0,29000,0
苗栗縣三灣鄉三灣國民小學附設幼兒園,三灣鄉,公立,8,61800,0,7725,0
苗栗縣三灣鄉立幼兒園,三灣鄉,公立,12,73600,0,6133,0
苗栗縣三義鄉僑成國民小學附設幼兒園,三義鄉,公立,8,61800,0,7725,0
苗栗縣三義鄉建中國民小學附設幼兒園,三義鄉,公立,8,56000,200,7000,25
苗栗縣三義鄉育英國民小學附設幼兒園,三義鄉,公立,8,61800,200,7725,25
苗栗縣三義鄉鯉魚國民小學附設幼兒園,三義鄉,公立,8,60000,200,7500,25
苗栗縣中正非營利幼兒園（委託中州學校財團法人設立之中州學校財團法人中州科技大學辦理）,苑裡鎮,非營利,12,98892,0,8241,0
苗栗縣五穀非營利幼兒園（委託財團法人伊甸社會福利基金會辦理）,公館鄉,非營利,12,99840,0,8320,0
苗栗縣僑善非營利幼兒園（委託財團法人福榮融合教育推廣基金會辦理）,頭份市,非營利,12,99840,0,8320,0
苗栗縣公館鄉仁愛國民小學附設幼兒園,公館鄉,公立,8,61800,200,7725,25
苗栗縣公館鄉公館國民小學附設幼兒園,公館鄉,公立,8,59200,0,7400,0
苗栗縣公館鄉福基國民小學附設幼兒園,公館鄉,公立,8,60000,200,7500,25
苗栗縣公館鄉鶴岡國民小學附設幼兒園,公館鄉,公立,8,61800,0,7725,0
苗栗縣六合非營利幼兒園（委託明新學校財團法人設立之明新科技大學辦理）,頭份市,非營利,12,99528,0,8294,0
苗栗縣卓蘭鎮內灣國民小學附設幼兒園,卓蘭鎮,公立,8,61800,0,7725,0
苗栗縣卓蘭鎮卓蘭國民小學附設幼兒園,卓蘭鎮,公立,8,61800,0,7725,0
苗栗縣卓蘭鎮立幼兒園,卓蘭鎮,公立,10,68400,0,6840,0
苗栗縣卓蘭鎮立幼兒園坪林分班,卓蘭鎮,公立,10,68400,0,6840,0
苗栗縣卓蘭鎮立幼兒園景山分班,卓蘭鎮,公立,10,68400,0,6840,0
苗栗縣卓蘭鎮豐田國民小學附設幼兒園,卓蘭鎮,公立,8,61800,0,7725,0
苗栗縣南庄鄉南埔國民小學附設幼兒園,南庄鄉,公立,8,58200,0,7275,0
苗栗縣南庄鄉南庄國民小學附設幼兒園,南庄鄉,公立,8,56400,0,7050,0
苗栗縣南庄鄉東河國民小學附設幼兒園,南庄鄉,公立,8,56400,0,7050,0
苗栗縣南庄鄉田美國民小學附設幼兒園,南庄鄉,公立,8,58200,0,7275,0
苗栗縣南庄鄉立幼兒園,南庄鄉,公立,10,47200,0,4720,0
苗栗縣南庄鄉蓬萊國民小學附設幼兒園,南庄鄉,公立,8,54600,0,6825,0
苗栗縣后庄非營利幼兒園（委託社團法人幼兒教保協會辦理）,頭份市,非營利,12,92544,0,7712,0
苗栗縣大湖鄉南湖國民小學附設幼兒園,大湖鄉,公立,8,60900,200,7613,25
苗栗縣大湖鄉大湖國民小學附設幼兒園,大湖鄉,公立,8,60000,200,7500,25
苗栗縣大湖鄉新開國民小學附設幼兒園,大湖鄉,公立,8,61800,200,7725,25
苗栗縣大湖鄉栗林國民小學附設幼兒園,大湖鄉,公立,8,61800,200,7725,25
苗栗縣大湖鄉立幼兒園,大湖鄉,公立,10,67500,0,6750,0
苗栗縣大湖鄉華興國民小學附設幼兒園,大湖鄉,公立,8,59200,200,7400,25
苗栗縣山佳非營利幼兒園（委託社團法人新竹縣遠見多元教育發展協會辦理）,竹南鎮,非營利,12,99684,0,8307,0
苗栗縣建功非營利幼兒園（委託社團法人東台灣幼兒教保專業促進協會辦理）,苗栗市,非營利,12,89808,0,7484,0
苗栗縣後龍鎮中和國民小學附設幼兒園,後龍鎮,公立,8,61800,200,7725,25
苗栗縣後龍鎮同光國民小學附設幼兒園,後龍鎮,公立,8,60000,200,7500,25
苗栗縣後龍鎮外埔國民小學附設幼兒園,後龍鎮,公立,8,56400,0,7050,0
苗栗縣後龍鎮大山國民小學附設幼兒園,後龍鎮,公立,8,58000,200,7250,25
苗栗縣後龍鎮成功國民小學附設幼兒園,後龍鎮,公立,8,55400,0,6925,0
苗栗縣後龍鎮海寶國民小學附設幼兒園,後龍鎮,公立,8,60000,200,7500,25
