reg_no,reg_docno,reg_date,title,owner,city,town,type,address,floor,size,size_in,size_out,tel,url,count_approved,shuttle,pre_public,is_free5,is_after,penalty,has_slip
府教幼字第1100182296號,府教學字第09800612330號,1950/09/01,南投縣南投市南投國民小學附設幼兒園,張振肇,南投縣,南投市,公立,[540]彰南路一段1059號,1樓,"1,644平方公尺","1,402平方公尺",242平方公尺,(049)2222038#822,https://reurl.cc/veO24k,90,,無,,無,無,yes
府教幼字第1070182250號,府教學字第09800612330號,1974/09/01,南投縣南投市平和國民小學附設幼兒園,張文馨,南投縣,南投市,公立,[540]育樂路62號,2樓,"1,700平方公尺","1,122平方公尺",550平方公尺,(049)2225457,https://sites.google.com/view/phkidedu,120,,無,,無,無,yes
府教幼字第1100185561號,府教學字第09800612330號,1971/07/31,南投縣南投市漳和國民小學附設幼兒園,張鈴采,南投縣,南投市,公立,[540]文林路16號,1樓,538平方公尺,207平方公尺,331平方公尺,(049)2224087#106,163.22.60.2,60,,無,,無,無,yes
府教幼字第1120185144號,投府教國字第651028號,1976/08/01,南投縣南投市嘉和國民小學附設幼兒園,陳秀玲,南投縣,南投市,公立,[540]彰南路一段639巷80號,1樓,271平方公尺,148平方公尺,122平方公尺,(049)2222430#117,,30,,無,,無,無,yes
府教幼字第1070205532號,府教學字第09800612330號,1969/04/14,南投縣南投市光復國民小學附設幼兒園,鄭佳昇,南投縣,南投市,公立,[540]光明一路67號,1樓,399平方公尺,189平方公尺,210平方公尺,(049)2331995#21,,30,,無,,無,無,yes
府教幼字第1120192302號,府教學字第09800612330號,1957/08/01,南投縣南投市光榮國民小學附設幼兒園,陳志嘉,南投縣,南投市,公立,[540]光榮北路19號,1樓,877平方公尺,135平方公尺,715平方公尺,(049)2332550#114,http://tw.class.urlifelinks.com/class/?csid=css000000033805,30,,無,,無,無,yes
府教幼字第1110230804號,府教學字第09800612330號,1957/08/01,南投縣南投市光華國民小學附設幼兒園,黃美鳳,南投縣,南投市,公立,[540]光華四路二號,1樓,900平方公尺,360平方公尺,540平方公尺,(049)2317806,http://163.22.60.3/classweb/Homepage.php?teacher_id=54,76,,無,,無,無,yes
府教幼字第1120095763號,府教學字第09900234530號,2010/01/28,南投縣南投市立幼兒園,張嘉哲,南投縣,南投市,公立,[540]南陽路269號,,,,,(049)2231103,http://www.ntc.gov.tw/content/index.asp?m=1&m1=6&m2=23,240,,無,,無,無,yes
府教幼字第1120019874號,府教學字第1000335095號,1979/08/01,南投縣南投市立幼兒園軍功分班,,南投縣,南投市,公立,[540]軍功路140巷76號,1樓,463.32平方公尺,223.16平方公尺,240.16平方公尺,(049)2238069,http://www.ntc.gov.tw/content/index.asp?m=1&m1=6&m2=23,45,,無,,無,無,yes
府教幼字第1130053652號,府教學字第1000335095號,1976/02/01,南投縣南投市立幼兒園文山分班,,南投縣,南投市,公立,[540]八卦路521-12號,1樓,548.257平方公尺,338.92平方公尺,209.337平方公尺,(049)2292072,http://www.ntc.gov.tw/content/index.asp?m=1&m1=6&m2=23,45,,無,,無,無,yes
