reg_no,reg_docno,reg_date,title,owner,city,town,type,address,floor,size,size_in,size_out,tel,url,count_approved,shuttle,pre_public,is_free5,is_after,penalty,has_slip
府教幼字第1070067010號,九0彰府教特字第178443號,1917/04/01,彰化縣彰化市大成國民小學附設幼兒園,吳宗達,彰化縣,彰化市,公立,[500]自強路303號,1樓、2樓、3樓,"4,371.38平方公尺","3,036.02平方公尺","1,335.36平方公尺",(04)7353457#104,https://www.dches.chc.edu.tw/,240,,無,,無,無,yes
府教幼字第1110332399號,六九彰府教國字第76071號,1980/06/24,彰化縣彰化市東芳國民小學附設幼兒園,陳錦廣,彰化縣,彰化市,公立,[500]彰馬路45號,1樓、2樓,991.86平方公尺,211.26平方公尺,780.6平方公尺,(04)7523250#724,www.tfps.chc.edu.tw,60,,無,,無,無,yes
府教幼字第1080293076號,七六彰府教國字第77551號,1987/02/19,彰化縣彰化市忠孝國民小學附設幼兒園,陳昱仁,彰化縣,彰化市,公立,[500]忠誠路61號,1樓、2樓,971.34平方公尺,549.56平方公尺,421.78平方公尺,(04)7613511,https://www.jsps.chc.edu.tw/,90,,無,,無,無,yes
府教幼字第1100297261號,八六彰府教國字第036381號,1997/03/03,彰化縣彰化市中山國民小學附設幼兒園,楊式愷,彰化縣,彰化市,公立,[500]中山路二段678號,1樓,435.1平方公尺,245.3平方公尺,189.8平方公尺,(04)7222033#18,,60,,無,,無,無,yes
府教幼字第1100297262號,府教特字第0960040570號,2007/03/07,彰化縣彰化市南郭國民小學附設幼兒園,王春堎,彰化縣,彰化市,公立,[500]中興路98號,1樓,924.02平方公尺,480.3平方公尺,443.72平方公尺,(04)7280366#5021,http://163.23.80.2/select3/輔導室/new/幼稚園/index.htm,60,,無,,無,無,yes
府教幼字第1080045578號,府社幼字第1000208724號,1995/07/01,彰化縣彰化市立幼兒園,林世賢,彰化縣,彰化市,公立,[500]長順街99號,1樓、2樓、3樓,"1,987平方公尺",938平方公尺,150平方公尺,(04)7292221,https://www.facebook.com/%E5%BD%B0%E5%8C%96%E5%B8%82%E7%AB%8B%E5%B9%BC%E5%85%92%E5%9C%92-10062748810,300,,無,,無,無,yes
府教幼字第1080045578A號,府社幼字第1000396880號,1995/07/01,彰化縣彰化市立幼兒園介壽分班,,彰化縣,彰化市,公立,[500]介壽新村241號,1樓、2樓,529.83平方公尺,194.8平方公尺,121.14平方公尺,(04)7125706,http://preschool.changhua.gov.tw/,90,,無,,無,無,yes
府教幼字第1080227306號,八四彰府教國字第153886號,1995/08/28,彰化縣私立先鋒幼兒園,廖美紅,彰化縣,彰化市,私立,[500]彰南路二段229之1號,1-2樓,"1,228.74平方公尺",599.54平方公尺,629.2平方公尺,(04)7371239,http://pioneer.woby.com.tw,150,"		",110-112,,無,無,yes
府教幼字第1010089142號,八六彰府教國字第198436號,1997/10/20,彰化縣私立立大幼兒園,楊煥爵,彰化縣,彰化市,私立,[500]泰和東街76號,1樓至2樓,"1,007.77平方公尺",655.77平方公尺,352平方公尺,(04)7265181,,90,"		",無,,無,無,yes
府教幼字第1010117921號,府社幼字第09100220230號,2002/01/31,彰化縣私立昀銛幼兒園,葉姵均,彰化縣,彰化市,私立,[500]山中街114號,1樓,414.82平方公尺,127.9平方公尺,228.11平方公尺,(04)7324272,,85,"		",110-112,,無,無,yes
府教幼字第1010117940號,八六彰府社福字第182849號,1997/09/26,彰化縣私立小樹苗幼兒園,陳鴻台,彰化縣,彰化市,私立,[500]大埔路219號,1樓至2樓,225.36平方公尺,75.36平方公尺,150平方公尺,(04)7118904,,40,,無,,無,無,yes
府教幼字第1010256109號,府社幼字第0990078270號,2010/04/01,彰化縣私立爵諾威爾幼兒園,陳怡雯,彰化縣,彰化市,私立,[500]民族路199號,1樓至2樓,953.65平方公尺,573.23平方公尺,380.42平方公尺,(04)7272755,,130,"		",無,,有，人數：10,有,yes
府教幼字第1070306209號,八三彰府社福字第189175號,1994/09/21,彰化縣私立三才幼兒園,顏國錦,彰化縣,彰化市,私立,[500]公園路一段323號,1-2樓,"1,572.62平方公尺",820.61平方公尺,456.35平方公尺,(04)7259555,serene5454@yahoo.com.tw,265,,110-112,,有，人數：40,有,yes
府教幼字第1010118431號,七0彰府教國字第57739號,1981/04/01,彰化縣私立南興幼兒園,洪文輝,彰化縣,彰化市,私立,[500]中山路1段187號,1樓至3樓,795.75平方公尺,623.11平方公尺,172.64平方公尺,(04)7620384,http://ns888.woby.com.tw,240,,110-112,,無,無,yes
府教幼字第1010118434號,彰府社福字第128227號,1983/08/12,彰化縣私立立人幼兒園,王澄姿,彰化縣,彰化市,私立,[500]陽明街2.4.6號,1樓,212.3平方公尺,163.63平方公尺,,(04)7230959,http://www.lijen.com.tw,55,,110-112,,有，人數：20,無,yes
府教幼字第1090480918號,府社幼字第0930010011號,2004/01/14,彰化縣私立威爾森幼兒園,陳志弘,彰化縣,彰化市,私立,[500]四維路21號,1樓至2樓,569.83平方公尺,130平方公尺,234.17平方公尺,(04)7517835,http://www.wretch.cc/blog/good200863/8679647,80,,無,,無,無,yes
府教幼字第1020069588號,９０彰府教特字第２２３７５０號,2001/12/19,彰化縣私立美利亞幼兒園,吳晟光,彰化縣,彰化市,私立,[500]茄苳路一段138之2號,1樓至3樓,"1,495.76平方公尺","1,103.54平方公尺",392.22平方公尺,(04)7353855,,145,"		",110-112,,無,無,yes
府教幼字第1100246634號,府社幼字第09101340560號,2002/07/22,彰化縣私立探索中興幼兒園,劉麗芬,彰化縣,彰化市,私立,[500]華山路273巷25號,1樓至3樓,"1,132.28平方公尺",473平方公尺,492平方公尺,(04)7290539,http://hipage.hinet.net/JONGSHING,120,"		",110-112,,無,有,yes
府教幼字第1010169602號,府社幼字第0950070126號,2006/04/14,彰化縣彰山宮文化慈善事業協會附設彰化縣私立彰山宮幼兒園,王火爐,彰化縣,彰化市,私立,[500]南校街160號,2樓至3樓,875.49平方公尺,337.98平方公尺,278.85平方公尺,(04)7281168,,160,,110-112,,無,有,yes
府教幼字第1010151217號,府社幼字第0920235681號,2003/12/10,彰化縣私立牛頓米羅幼兒園,李如春,彰化縣,彰化市,私立,[500]平和五街101號,1樓,696平方公尺,215.73平方公尺,364.04平方公尺,(04)7627433,http//newtonmiro.net.23.net,80,,110-112,,無,無,yes
府教幼字第1010151215號,府社幼字第0930144668號,2006/10/04,彰化縣私立華盛頓幼兒園,周啟銘,彰化縣,彰化市,私立,[500]崙美路55號,1,448.9平方公尺,103.29平方公尺,282.4平方公尺,(04)7633388,,30,,無,,無,無,yes
府教幼字第1010151223號,彰府社福字第160677號,1995/09/06,彰化縣私立喜悅兒幼兒園,許麗娟,彰化縣,彰化市,私立,[500]南平街121.123.125.127號,1樓至2樓,388平方公尺,203.25平方公尺,117平方公尺,(04)7112747,,80,,無,,無,有,yes
府教幼字第1010151219號,府社幼字第0930236347號,2004/12/09,彰化縣私立芝加哥幼兒園,莊玉瑛,彰化縣,彰化市,私立,[500]西勢街278號,1樓至2樓,"1,066.11平方公尺",174平方公尺,250平方公尺,(04)7235500,,116,,無,,無,有,yes
府教幼字第1070025012號,彰府社福字第70672號,2002/01/16,彰化縣私立堉惠幼兒園,張可欣,彰化縣,彰化市,私立,[500]三民路279巷1號,1樓至3樓,467.16平方公尺,218.79平方公尺,123.93平方公尺,(04)7238849,http://yuhui.woby.tw/,80,"		",110-112,,無,無,yes
府教幼字第1010142287號,七一彰府教國字第42826號,1982/01/21,彰化縣私立和平幼兒園,林梅桂,彰化縣,彰化市,私立,[500]福山街165巷38號,一樓至二樓,917.2平方公尺,394.2平方公尺,523平方公尺,(04)7323229,http://hopingkids.blogspot.com,120,,110-112,,無,無,yes
府教幼字第1050302558號,八九彰府社幼字第098231號,2000/05/25,彰化縣私立格林幼兒園,郭佳晴,彰化縣,彰化市,私立,[500]山中街1之5號,1~2,536.017平方公尺,347.817平方公尺,188.2平方公尺,(04)7389952,https://www.facebook.com/%E5%BD%B0%E5%8C%96%E6%A0%BC%E6%9E%97%E5%B9%BC%E5%85%92%E5%9C%92-26002005201,161,"		",111-112,,有，人數：16,無,yes
府教幼字第1100480278號,府社幼字第0920218607號,2003/11/11,彰化縣私立山姆叔叔幼兒園,張陳錦雲,彰化縣,彰化市,私立,[500]三民路279巷5號2樓,2樓,314.34平方公尺,175.8平方公尺,138.54平方公尺,(04)7285878,,56,,110-112,,無,無,yes
府教幼字第1040344626號,府社幼字第0940105938號,2005/06/07,彰化縣私立富蘭克林幼兒園,徐世光,彰化縣,彰化市,私立,[500]延平路508號,1樓至3樓,"2,599.86平方公尺",797平方公尺,834.12平方公尺,(04)7125555,http://www.ykce.com.tw/,370,,無,,無,無,yes
府教幼字第1030036563號,府社幼字第0960101520號,2007/05/22,彰化縣私立米堤爾幼兒園,蔡麗禎,彰化縣,彰化市,私立,[500]彰南路2段73巷18號,1樓至2樓,572.91平方公尺,235.97平方公尺,220.8平方公尺,(04)7386123,http://miter.myweb.hinet.net/,60,,無,,無,無,yes
府教幼字第1010169657號,八七彰府社福字第187710號,1998/10/07,彰化縣私立喜悅兒曉陽幼兒園,許麗娟,彰化縣,彰化市,私立,[500]曉陽路180號,1樓至2樓,366.35平方公尺,167.11平方公尺,91.97平方公尺,(04)7262745,,60,,無,,無,無,yes
府教幼字第1070209639號,府社幼字第0930149386號,2004/08/05,彰化縣私立探索幼兒園,劉麗芬,彰化縣,彰化市,私立,[500]建國北路160號,1樓、2樓,"1,221.28平方公尺",587.6平方公尺,633.68平方公尺,(04)7233207,,188,"		",110-112,,無,無,yes
府教幼字第1010169734號,府社幼字第0920244304號,2003/12/24,彰化縣私立樂耕幼兒園,劉冷琴,彰化縣,彰化市,私立,[500]辭修路388號,1樓至2樓,"1,661.83平方公尺",264.32平方公尺,729.16平方公尺,(04)7513310,www.childhouse.com.tw/index.html,100,,無,,無,無,yes
府教幼字第1020144189號,府社幼字第09102172690號,2002/11/20,彰化縣私立嘟嘟幼兒園,李素婷,彰化縣,彰化市,私立,[500]仁愛路67巷11號,1樓至3樓,192.74平方公尺,58.27平方公尺,38.03平方公尺,(04)7203646,,27,,無,,無,無,yes
府教幼字第1100166871號,府社幼字第0960104607號,2007/05/25,彰化縣私立探索辭修幼兒園,劉麗芬,彰化縣,彰化市,私立,[500]彰草路43之5號,1樓至3樓,"1,100.62平方公尺",747.19平方公尺,353.43平方公尺,(04)7636351,https://www.facebook.com/kiddieCisiu/?ref=pages_you_manage,233,"		",無,,有，人數：13,無,yes
府教幼字第1010170730號,府社幼字第1000328220號,2011/10/06,彰化縣私立均成幼兒園,陳昌億,彰化縣,彰化市,私立,[500]彰南路二段256之6號、7號,1樓至3樓,382.27平方公尺,179.71平方公尺,56.35平方公尺,(04)7385080,,67,"		",無,,有，人數：9,無,yes
府教幼字第1010203474號,彰府社福字第209995號,1993/12/04,彰化縣私立陳興幼兒園,陳淑娟,彰化縣,彰化市,私立,[500]互助二街1之1號,地上一樓,"1,350.02平方公尺",306平方公尺,990平方公尺,(04)7373459,http://chen-hsin.wiby.com.tw,180,"		",110-112,,無,有,yes
府教幼字第1040024293號,八九彰府社幼字第186864號,2000/10/03,彰化縣私立樹人幼兒園,許書堂,彰化縣,彰化市,私立,[500]中山路二段605之1號,1,286.82平方公尺,241平方公尺,,(04)7227726,,68,,無,,有，人數：33,無,yes
府教幼字第1010205661號,八八彰府社福字第068999號,1999/04/14,彰化縣私立幼祥幼兒園,曾麗娜,彰化縣,彰化市,私立,[500]天祥路66號,地上1層至3層,762.58平方公尺,341.4平方公尺,294平方公尺,(04)7619667,,150,,110-112,,有，人數：20,無,yes
府教幼字第1010205685號,彰府社福字第33號,1981/08/31,彰化縣私立成陽幼兒園,陳惠敏,彰化縣,彰化市,私立,[500]中正路二段657巷85號,1-2樓,407.78平方公尺,137.45平方公尺,169平方公尺,(04)7254102,,60,,無,,無,無,yes
府教幼字第1100412776號,彰府社福字第89384號,1983/04/22,彰化縣私立幼幼幼兒園,林亦儒,彰化縣,彰化市,私立,[500]大埔路485巷2號,一樓,344.66平方公尺,138.24平方公尺,172.37平方公尺,(04)7116013,,92,,110-112,,無,有,yes
府教幼字第1010206699號,府社幼字第0930142544號,2004/07/26,彰化縣私立旗艦史丹福幼兒園,黃士釗,彰化縣,彰化市,私立,[500]辭修路412號,1-2樓,"2,991.09平方公尺","1,657.98平方公尺",716.31平方公尺,(04)7511666,,280,"		",無,,有，人數：20,有,yes
府教幼字第1010228465號,彰府社福字第37561號,1994/01/27,彰化縣私立童年幼兒園,游英娥,彰化縣,彰化市,私立,[500]崙平南路441號,一樓至二樓,395.03平方公尺,359.7平方公尺,,(04)7633858,,100,,無,,有，人數：20,無,yes
府教幼字第1010226958號,八八彰府社福字第189052號,1999/10/11,彰化縣私立劍聲幼兒園,陳寶玉,彰化縣,彰化市,私立,[500]永芳路356號,1樓至二樓,860.59平方公尺,232.27平方公尺,566平方公尺,(04)7510863,http://www.jskid.com.tw/index.jsp?_goBunitId=11,150,,110-112,,有，人數：30,有,yes
府教幼字第1070244966號,府社幼字第0950183130號,2006/09/22,彰化縣私立爵諾麗森幼兒園,黃志偉,彰化縣,彰化市,私立,[500]建國東路291號,1樓至3樓,"1,720.19平方公尺",453.73平方公尺,583.4平方公尺,(04)7276667,,180,"		",無,,有，人數：15,無,yes
府教幼字第1090218883號,七七彰府社福字第033781號,1988/12/15,彰化縣私立鵝媽媽幼兒園,王淑華,彰化縣,彰化市,私立,[500]大埔路485巷10號,1-2F,"1,297.24平方公尺",381.43平方公尺,695.94平方公尺,(04)7121157,http://www.goosemom.com.tw,149,,110-112,,無,無,yes
府教幼字第1110058026號,彰府社福字第170159號,1996/09/23,有限責任國立彰化師範大學員生消費合作社附設彰化縣私立彰師大幼兒園,湯玉珍,彰化縣,彰化市,私立,[500]進德路1號,1樓,"1,138.64平方公尺",347.8平方公尺,118.62平方公尺,(04)7277541,ncuekid@yahoo.com.tw,150,,無,,無,無,yes
府教幼字第1010317917號,九0彰府社幼字第115495號,2001/07/04,彰化縣私立耕新幼兒園,蔡金桂,彰化縣,彰化市,私立,[500]天祥路313號,1-3樓,497.93平方公尺,211.03平方公尺,116.8平方公尺,(04)7638866,,94,,110-112,,無,無,yes
府教幼字第1100412772號,府社幼字第1010028275號,2012/02/06,彰化縣私立幼幼皇家幼兒園,林亦儒,彰化縣,彰化市,私立,[500]大埔路485巷1號,1樓至2樓,197.35平方公尺,164.28平方公尺,,(04)7116013,,45,,110-112,,有，人數：15,有,yes
府教幼字第1010354543號,府社幼字第0950112884號,2006/06/15,彰化縣私立勁寶兒海頓幼兒園,林妙珍,彰化縣,彰化市,私立,[500]瑞陽街30號,二樓至三樓,419.35平方公尺,288.36平方公尺,27.11平方公尺,(04)7111738,,45,,無,,無,無,yes
府教幼字第1020078721號,府教幼字第1020031910號,2013/03/01,彰化縣私立培根幼兒園,徐世光,彰化縣,彰化市,私立,[500]彰新路一段99號,一樓至三樓,"2,485.8平方公尺","1,467平方公尺","1,018.8平方公尺",(04)7367155,,370,,無,,無,無,yes
府教幼字第1030048171號,府教幼字第1030048171號,2014/02/24,彰化縣私立頂尖保進幼兒園,竇瑜芬,彰化縣,彰化市,私立,[500]南館街70號,1樓至3樓,"3,323.79平方公尺","2,265.65平方公尺",953.14平方公尺,(04)7620270,http://bowjinn-053.topschool.com.tw/,317,"		",110-112,,無,有,yes
府教幼字第1100441762號,府教幼字第1030449573號,2014/12/30,彰化縣私立悅恩幼兒園,王詩雯,彰化縣,彰化市,私立,[500]三民路403巷7號,1樓、2樓,574.95平方公尺,498.48平方公尺,76.47平方公尺,(04)7287179,,49,,110-112,,無,無,yes
府教幼字字第1060328924號,府教幼字字第1060328924號,2017/09/20,彰化縣私立日光城堡幼兒園,朱慧芬,彰化縣,彰化市,私立,[500]中山路二段685號,1樓、2樓,"1,484.01平方公尺","1,001.03平方公尺",482.98平方公尺,(04)7260174,,193,,無,,無,無,yes
府教幼字第1110244218號,府教幼字第1110244218號,2022/07/07,彰化縣私立圓周幼兒園,林奕儒,彰化縣,彰化市,私立,[500]崙美路49號,1樓,781.19平方公尺,441.16平方公尺,340.03平方公尺,(04)7266263,,105,,無,,無,無,yes
府教幼字第1110291859號,八六彰府社福字第13383號,1997/01/26,彰化縣彰基員工子女非營利幼兒園（彰化基督教醫療財團法人申請辦理）,吳瑞鵬,彰化縣,彰化市,非營利,[500]大埔路485巷106號,一樓,792.69平方公尺,284.18平方公尺,508.51平方公尺,(04)7114013,評鑑情形：,116,,無,,無,無,no
府教幼字第1090119666號,府教幼字第1050037748號,2016/01/30,彰化縣平和非營利幼兒園（委託社團法人彰化縣中華幼兒教保職涯發展協會辦理）,陳麗秋,彰化縣,彰化市,非營利,[500]建中街60號,1樓,953.89平方公尺,553.89平方公尺,400平方公尺,(04)7620429,評鑑情形：,106,,無,,無,無,no
府教幼字第1090119665號,府教幼字第1080264240號,2019/07/31,彰化縣興光非營利幼兒園（委託社團法人彰化縣中華幼兒教保職涯發展協會辦理）,陳麗秋,彰化縣,彰化市,非營利,[500]中山路一段213號,1樓、2樓,451.44平方公尺,259.74平方公尺,191.7平方公尺,(04)7515075,https://www.facebook.com/sg7515075,60,,無,,無,無,no
府教幼字第1080264234號,府教幼字第1080264234號,2019/07/30,彰化縣民生非營利幼兒園（委託社團法人彰化縣全方位教育協會辦理）,梁嫣玲,彰化縣,彰化市,非營利,[500]民生路338號,1樓,542.87平方公尺,268.16平方公尺,274.71平方公尺,(04)7288141,評鑑情形：,60,,無,,無,無,no
府教幼字第1090119664號,府教幼字第1080264239號,2019/07/31,彰化縣石牌非營利幼兒園（委託社團法人彰化縣中華幼兒教保職涯發展協會辦理）,陳麗秋,彰化縣,彰化市,非營利,[500]田坑路一段9號,1樓、2樓,510.8905平方公尺,300.2005平方公尺,210.69平方公尺,(04)7384073,評鑑情形：,68,,無,,無,無,no
府教幼字第1090307158號,府教幼字第1090307158號,2020/08/26,彰化縣國聖非營利幼兒園（委託社團法人彰化縣全方位教育協會辦理）,梁嫣玲,彰化縣,彰化市,非營利,[500]中山路三段608號,1樓、2樓,"1,457.2平方公尺","1,022.47平方公尺",434.73平方公尺,(04)7388697,評鑑情形：,106,,無,,無,無,no
府教幼字第1100297258號,彰府教國字第82569號,1974/07/20,彰化縣芬園鄉芬園國民小學附設幼兒園,王彩鳳,彰化縣,芬園鄉,公立,[502]彰南路四段27巷28號,1樓,527.28平方公尺,340.17平方公尺,187.11平方公尺,(049)2522208#132,http://fypschild.tw.class.urlifelinks.com/,30,,無,,無,無,yes
府教幼字第1080038756號,府社幼字第1000340002號,1994/09/27,彰化縣芬園鄉立幼兒園,林世明,彰化縣,芬園鄉,公立,[502]中山路139號,1樓、2樓,"2,592.16平方公尺",661.86平方公尺,914.01平方公尺,(04)8591319,,290,"		",無,,無,無,yes
