reg_no,reg_docno,reg_date,title,owner,city,town,type,address,floor,size,size_in,size_out,tel,url,count_approved,shuttle,pre_public,is_free5,is_after,penalty,has_slip
基府教前參字第1090240746S號,基府教國字第79616號,1973/12/27,基隆市仁愛區仁愛國民小學附設幼兒園,彭麗琦,基隆市,仁愛區,公立,[200]仁二路139號,1樓至2樓,"1,533平方公尺",913平方公尺,620平方公尺,(02)24291585#17,http://blog.xuite.net/raps.kl/blog,166,,無,,無,無,yes
基府教前參字第1090240746D號,基府教國字第037618號,1996/05/14,基隆市仁愛區南榮國民小學附設幼兒園,曾敬棠,基隆市,仁愛區,公立,[200]南榮路321號,1樓,320平方公尺,230平方公尺,90平方公尺,(02)24223038#60,https://www.facebook.com/nanrongps/,45,,無,,無,無,yes
基府教前參字第1090240746G號,基府教國字第40954號,1979/08/06,基隆市仁愛區成功國民小學附設幼兒園,陳怡君,基隆市,仁愛區,公立,[200]獅球路6號,1樓,"1,498平方公尺","1,200平方公尺",298平方公尺,(02)24313939#60,http://https://www.facebook.com/twklckeskindergarten,106,,無,,無,無,yes
基府教前參字第1110240001號,基信國教字第54054號,1974/08/26,基隆市信義區信義國民小學附設幼兒園,潘志煌,基隆市,仁愛區,公立,[200]仁二路135號,,,,,(02)24213960#60,http://:www.syps.kl.edu.tw,76,,無,,無,無,yes
基府教前參字第1090240746B1號,基府社福字第850000號,1996/05/13,基隆市立安心幼兒園光華分班,,基隆市,仁愛區,公立,[200]成功一路131號1樓,1樓,861.89平方公尺,861.89平方公尺,,(02)24338392,http://211.79.129.118/school/web/index.php,200,,無,,無,無,yes
基府教前參字第1090236920B號,基府社福貳字第0990172248號,2010/09/01,基隆市私立人愛幼兒園,舒逸雲,基隆市,仁愛區,私立,[200]仁一路261之8號及261之1號2樓之1,1樓至2樓,470.16平方公尺,470.16平方公尺,,(02)24286565,,87,"		",無,,無,無,yes
基府教前貳字第1100232630號,基府社福字第050143號,1999/01/13,基隆市私立維也納幼兒園,楊嘉惠,基隆市,仁愛區,私立,[200]南榮路22號2樓,,,,,(02)24270425,http://yoyokids.ebc.net.tw/yoyo/ETY013/,90,"		",110-112,,無,無,yes
基府教前貳字第1100232615號,社福字第38293號,1981/07/23,基隆市私立雙全幼兒園,陳光輝,基隆市,仁愛區,私立,[200]南榮路393巷19之1號,,,,,(02)24271420,hipage.hinet.net/swnchen,100,"		",110-112,,無,無,yes
基府教前貳字第1110236028號,基府社福字第0930080305號,2004/07/28,基隆市私立筌勝幼兒園,鄭拯聰,基隆市,仁愛區,私立,[200]愛五路19巷34號,,,,,(02)24269408,,35,"		",110-112,,無,無,yes
基府教前參字第1110238392號,基府教前參字第1110238392號,2022/08/15,台電公司基隆區營業處職場互助教保服務中心(委託財團法人經國管理暨健康學院辦理),蔣初泰,基隆市,仁愛區,私立,[200]仁一路301號1樓,,,,,(02)24231156#7412,評鑑情形：,40,,無,,無,無,no
基府教前參字第1100222572號,基府教前貳字第1090243117號,2020/08/01,基隆市南榮非營利幼兒園(委託財團法人伊甸社會福利基金會辦理),羅紀琼,基隆市,仁愛區,非營利,[200]南榮路319巷36號,,,,,(02)24280690,評鑑情形：,106,"		",無,,無,無,no
基府教前參字第1110239731B號,基府教國字第071991號,1999/07/29,基隆市信義區東光國民小學附設幼兒園,顏安秀,基隆市,信義區,公立,[201]東信路236巷16號,1樓,447平方公尺,140平方公尺,307平方公尺,(02)24650329#60,http://class.tn.edu.tw/modules/tad_web/index.php?WebID=1952,60,,無,,無,無,yes
基府教前參字第1110238642B號,基府教國字第43429號,1974/07/13,基隆市信義區東信國民小學附設幼兒園,曾恕華,基隆市,信義區,公立,[201]正信路26號,,,,,(02)24652133#60,http://www.dsps.kl.edu.tw,90,,無,,無,無,yes
基府教前參字第1110239998號,基府教國字第52698號,1975/09/04,基隆市信義區中興國民小學附設幼兒園,楊志欽,基隆市,信義區,公立,[201]信二路40號,1樓至2樓,540平方公尺,216平方公尺,324平方公尺,(02)24225038#60,http://tw.class.uschoolnet.com/class/?csid=css000000218937,122,,無,,無,無,yes
基府教前參字第1090243098C號,（八八）基府教國字第071991號,1999/07/29,基隆市信義區深澳國民小學附設幼兒園,莊智森,基隆市,信義區,公立,[201]深澳坑路55-1號,1樓,656平方公尺,474平方公尺,182平方公尺,(02)24652940#60,,152,,無,,無,無,yes
基府教前參字第1060238000號,（八八）基府教國字第071991號,1999/07/29,基隆市信義區深美國民小學附設幼兒園,陳建文,基隆市,信義區,公立,[201]深美街198號,1樓至2樓,788平方公尺,278平方公尺,510平方公尺,(02)24654821#60,https://sites.google.com/gm.kl.edu.tw/smpskindergarten/%E9%A6%96%E9%A0%81?authuser=0,60,,無,,無,無,yes
基府教前參字第1010160412號,基府社福貳字第1000144560號,2011/02/15,基隆市私立新美幼兒園,葉意萍,基隆市,信義區,私立,[201]深溪路41號1-4樓,1樓至4樓,206.33平方公尺,206.33平方公尺,,(02)24663079,,36,"		",無,,有，人數：9,無,yes
基府教前參字第1010171985號,基府教國字第45646號,1996/06/06,基隆市私立道生幼兒園,汪雪雯,基隆市,信義區,私立,[201]東光路261-17號,,,,,(02)24650077,k171x37@ns9.kl.edu.tw,150,"		",無,,無,無,yes
基府教前參字第1080216092號,基府社福貳字第0940091384號,2005/08/16,基隆市私立柴爾德幼兒園,邱淑媛,基隆市,信義區,私立,[201]仁一路27號3樓之1、2,3樓,156.08平方公尺,156.08平方公尺,,(02)24255535,http://www.wretch.cc/blog/joanne0389,30,,無,,無,無,yes
