reg_no,reg_docno,reg_date,title,owner,city,town,type,address,floor,size,size_in,size_out,tel,url,count_approved,shuttle,pre_public,is_free5,is_after,penalty,has_slip
高市教幼字第10937348600號,67高市府教國字第80250號,1978/08/17,高雄市新興區七賢國民小學附設幼兒園,夏紹彰,高雄市,新興區,公立,[800]七賢一路393號,1樓,886.73平方公尺,288平方公尺,598.73平方公尺,(07)2351150,,152,,無,,無,無,yes
高市教幼字第10535094000號,高市教三字第0970036449(補)號,1973/09/01,高雄市新興區信義國民小學附設幼兒園,陳棨信,高雄市,新興區,公立,[800]中正三路32號,1樓至2樓,"1,534.78平方公尺",434.79平方公尺,"1,099.99平方公尺",(07)2370609,http://www.syps.kh.edu.tw/,120,,無,,無,無,yes
高市教幼字第10937177000號,高市教三字第0970036449(補)號,1989/02/01,高雄市新興區大同國民小學附設幼兒園,陳詠禎,高雄市,新興區,公立,[800]大同一路231號,1樓,"1,831.22平方公尺",322.4平方公尺,"1,508.82平方公尺",(07)2823039#762,,60,,無,,無,無,yes
高市教幼字第10937690100號,高市教國字第01773號,1973/09/01,高雄市新興區新興國民小學附設幼兒園,張慶鴻,高雄市,新興區,公立,[800]民生一路321號,2樓,"2,212.78平方公尺","1,855.08平方公尺",357.7平方公尺,(07)2412110#720,https://class.kh.edu.tw/24480,152,,無,,無,無,yes
高市教幼字第11135317500號,高市府教國字第101056號,1970/10/12,財團法人中華基督教衛理公會附設高雄市私立衛理幼兒園,,高雄市,新興區,私立,[800]中山二路564號,,,,,(07)2314853,wesley.ylkc.com.tw,150,"		",111-112,,無,有,yes
高市教幼字第10138330400號,高市四維社局兒少字第1000044095號,2011/05/27,高雄市私立優群五福幼兒園,馬偉群,高雄市,新興區,私立,[800]民生一路1之10號,3樓,489.86平方公尺,489.86平方公尺,,(07)2228386,高雄市新興區民生一路1-10號,102,,無,,有，人數：50,有,yes
高市教幼字第11034459600號,高市社局五字第9242號,1999/03/26,高雄市私立華盛頓幼兒園,黃義和,高雄市,新興區,私立,[800]民生一路226號1-2樓,1-2樓,"1,526.97平方公尺","1,098.08平方公尺",428.89平方公尺,(07)2015893,,231,,110-112,,無,無,yes
高市教幼字第10937483100號,高市教國字第88288號,1973/10/29,高雄市前金區建國國民小學附設幼兒園,朱柏州,高雄市,前金區,公立,[801]自立二路111號,國小教學大樓之2樓,"1,053.93平方公尺",172.58平方公尺,881.35平方公尺,(07)2860128#727,,106,,無,,無,無,yes
高市教幼字第10636240600號,高市教字第62037號,1943/12/20,高雄市立前金幼兒園,鄭淑蓮,高雄市,前金區,公立,[801]大同二路76號,1-3樓,"3,405.77平方公尺","1,286.53平方公尺","2,119.23平方公尺",(07)2211708#107,http://www.cckg.kh.edu.tw,480,,無,,無,無,yes
高市教幼字第10734908300號,高市社局五字第17759號,2000/06/15,高雄市私立肯特幼兒園,徐油,高雄市,前金區,私立,[801]七賢二路307號1-3樓,1~3樓,245.75平方公尺,195.85平方公尺,49.9平方公尺,(07)2612115,,59,,110-112,,有，人數：17,無,yes
高市教幼字第10132911500號,高市社局五字第4686號,2001/02/26,高雄市私立嘉安親幼兒園,滕華雅,高雄市,前金區,私立,[801]中正四路105之1號2樓,2樓、2樓,360.46平方公尺,360.46平方公尺,,(07)2722321,,60,,無,,無,無,yes
高市教幼字第10936484800號,高市教國字第089518號,1973/11/02,高雄市苓雅區四維國民小學附設幼兒園,王淵智,高雄市,苓雅區,公立,[802]青年一路103號,1樓-2樓,"1,481.15平方公尺",576平方公尺,905.15平方公尺,(07)3348199#770,https://affairs.kh.edu.tw/2183/fpage/view/1,210,,無,,無,無,yes
高市教幼字第10635907300號,高市教國字第090576號,1973/10/03,高雄市苓雅區成功國民小學附設幼兒園,呂佳真,高雄市,苓雅區,公立,[802]華新街59號,1,808.86平方公尺,131.22平方公尺,677.64平方公尺,(07)3341882#113,http://www.ckps.kh.edu.tw/,30,,無,,無,無,yes
高市教幼字第11032412900號,高市教國字第077104號,1973/09/19,高雄市苓雅區苓洲國民小學附設幼兒園,劉曜源,高雄市,苓雅區,公立,[802]四維四路61號,1樓-2樓,"3,512.03平方公尺",647.47平方公尺,"2,864.56平方公尺",(07)3351804#710,http://www.ljps.kh.edu.tw/page/index_c.htm,180,,無,,無,無,yes
高市教幼字第11032330900號,高市教三字第0970036449(補)號,1993/08/01,高雄市苓雅區福康國民小學附設幼兒園,黃綉閔,高雄市,苓雅區,公立,[802]漢陽街17號,一樓,"1,755.72平方公尺",598.5平方公尺,"1,157.22平方公尺",(07)7227134#717,www.fkps.kh.edu.tw,166,,無,,無,無,yes
高市教幼字第10937574000號,高市教國字第71968號,1976/08/18,高雄市苓雅區福東國民小學附設幼兒園,許繼德,高雄市,苓雅區,公立,[802]福德三路96號,1樓、2樓,"2,530.04平方公尺",616.08平方公尺,"1,913.96平方公尺",(07)7510048#700,www.ftps.kh.edu.tw,212,,無,,無,無,yes
高市教幼字第11136038700號,高市教育三字第17330號,1981/09/08,高雄市苓雅區中正國民小學附設幼兒園,陳棨信,高雄市,苓雅區,公立,[802]輔仁路100號,1樓,"2,022.81平方公尺",553平方公尺,"1,469.81平方公尺",(07)7225936#971,,90,,無,,無,無,yes
高市教幼字第10936896600號,高市教國字第22581號,1976/08/01,高雄市苓雅區五權國民小學附設幼兒園,林慶信,高雄市,苓雅區,公立,[802]三多二路100號,,,,,(07)7511074#13,http://www.wcps.kh.edu.tw,60,,無,,無,無,yes
高市教幼字第11037396300號,高市教國字第22632號,1973/09/01,高雄市苓雅區凱旋國民小學附設幼兒園,吳慶隆,高雄市,苓雅區,公立,[802]憲政路235號,1樓,"2,535.28平方公尺",857.5平方公尺,"1,677.78平方公尺",(07)2248356,http://www.ksps.kh.edu.tw/,196,,無,,無,無,yes
高市教幼字第10131967400號,高市教育三字第3782號,1984/02/20,高雄市私立小群幼兒園,王義君,高雄市,苓雅區,私立,[802]武嶺街95號,,,,,(07)7160921,http://hsiao-chun.woby.com.tw/,90,"		",無,,無,無,yes
高市教幼字第11134661300號,高市教育三字第13649號,1984/06/06,高雄市私立樂奇幼兒園,薛金湖,高雄市,苓雅區,私立,[802]武嶺街28之1號,,,,,(07)7611916,http：//lucky.woby.com.tw,76,,110-112,,無,有,yes
高市教幼字第10133860900號,高市社局四字第12395號,1998/05/12,高雄市私立東昇幼兒園,郭麗雲,高雄市,苓雅區,私立,[802]苓中路170之4號1、2樓,2樓,155.36平方公尺,155.36平方公尺,,(07)3332010,http://dong-sheng.blogkids.net/,35,,110-112,,無,有,yes
高市教幼字第10434981000號,高市社局五字第0960040003號,2007/10/12,高雄市私立奧斯福爾幼兒園,任展宗,高雄市,苓雅區,私立,[802]建國一路356號1樓至2樓、建國一路358巷16號1樓,1樓、2樓,"1,043.75平方公尺",372.21平方公尺,671.54平方公尺,(07)2222219,,156,"		",無,,無,有,yes
高市教幼字第10133253600號,高市教育三字第07774號,1993/04/13,高雄市私立康澤幼兒園,,高雄市,苓雅區,私立,[802]惠安街32號,,,,,(07)2269468,http://www.kangdze.com.tw,420,"		",無,,無,無,yes
高市教幼字字第10736316200號,高市社局四字第01548號,1997/01/20,財團法人高雄市基督教青年會附設高雄市私立英明幼兒園,,高雄市,苓雅區,私立,[802]英明路166號1至2樓,1樓至2樓,"1,531.78平方公尺","1,151.78平方公尺",380平方公尺,(07)7137466#207,http://kh.ymca.org.tw,90,,無,,無,無,yes
高市教幼字字第10737131900號,高市教三字第21167號,1995/07/29,高雄市私立巧生慈幼兒園,陳美吟,高雄市,苓雅區,私立,[802]永靖街88號,,,,,(07)3336799,http://charm-love.topschool.com.tw,240,"		",無,,無,無,yes
高市教幼字第10136880200號,高市社局四字第8032號,1998/03/25,高雄市私立普津幼兒園,陳治銓,高雄市,苓雅區,私立,[802]廣州一街91號1.2樓,,,,,(07)7261094,,60,,110-112,,無,無,yes
高市教幼字第10332572500號,高市教育三字第19753號,1983/08/12,高雄市私立感恩幼兒園,宋美蓮,高雄市,苓雅區,私立,[802]家齊路7號,1樓至2樓,353.34平方公尺,321.76平方公尺,31.58平方公尺,(07)7229383,,60,,110-112,,無,有,yes
高市教幼字第10137871700號,高市教三字第36996號,1996/11/25,高雄市私立康吉爾幼兒園,楊娟哲,高雄市,苓雅區,私立,[802]武智街100號,,,,,(07)7164636,,72,,110-112,,無,無,yes
高市教幼字第10137822300號,高市社局五字第0960030294號,2007/08/07,高雄市私立四季幼兒園,唐月員,高雄市,苓雅區,私立,[802]仁德街149號1至3樓,1樓至3樓,294.71平方公尺,274.37平方公尺,20.34平方公尺,(07)3386912,http://www.wretch.cc/blog/sihji,55,,110-112,,有，人數：25,有,yes
高市教幼字第10232224800號,73高市教育三字第8464號,1984/04/12,高雄市私立傑尼爾幼兒園,謝佳宏,高雄市,苓雅區,私立,[802]廣州一街125號,1-3樓,"1,572.96平方公尺","1,286.16平方公尺",286.8平方公尺,(07)7110031,www.genikid.com.tw/genioz,360,"		",無,,無,有,yes
高市教幼字第10137993000號,高市府社五字第07526號,2002/02/20,高雄市私立貝斯特藝術幼兒園,蘇秀蘭,高雄市,苓雅區,私立,[802]尚志街9號1-2樓,1-2樓,"1,045.95平方公尺","1,045.95平方公尺",,(07)2227555,http：//203.70.181.54,130,"		",110-112,,無,無,yes
高市教幼字第10137681000號,高市府社五字第01657號,2002/01/10,高雄市私立佳學幼兒園,李俊明,高雄市,苓雅區,私立,[802]成功一路128號1至2樓,1至2樓,205.44平方公尺,205.44平方公尺,,(07)2696862,,30,,110-112,,無,無,yes
高市教幼字第10138164200號,高市府社五字第37239號,2001/09/14,高雄市私立佳兒幼兒園,張乃禹,高雄市,苓雅區,私立,[802]林泉街80巷1號1-2樓,1樓至2樓,147.9平方公尺,147.9平方公尺,,(07)7229211,高雄市苓雅區林泉街80巷1號,30,,111-112,,無,有,yes
高市教幼字第10138410100號,高市社局五字第13854號,1998/05/27,高雄市私立快樂夏綠蒂幼兒園,林淑勤,高雄市,苓雅區,私立,[802]安樂路26號1-3樓,1-3,"1,393.83平方公尺",958.95平方公尺,434.88平方公尺,(07)7118850,,165,,無,,有，人數：75,有,yes
高市教幼字第10937725700號,82高市社局三字第9365號,1993/05/05,私立復華高級中學附設高雄市幼兒園,孫建行,高雄市,苓雅區,私立,[802]民權一路42號1至2樓,1樓至2樓,"1,358.2平方公尺",934.2平方公尺,424平方公尺,(07)3327772,http://163.32.63.66/~fhk/,260,"		",無,,無,無,yes
高市教幼字第10536211800號,高市教四字第53222號,1958/11/07,財團法人天主教聖母無原罪方濟傳教修女會附設高雄市私立樂仁幼兒園,,高雄市,苓雅區,私立,[802]五福三路149號,1-3樓,"4,334.26平方公尺","3,834.26平方公尺",500平方公尺,(07)2317001,http://www.lojen.com.tw,360,"		",無,,無,有,yes
高市教幼字字第10831763000號,76高市社局三字第15355號,1987/06/22,高雄市私立創世紀幼兒園,朱有鈴,高雄市,苓雅區,私立,[802]福建街223巷3號、8號、10號,ㄧ樓,505.24平方公尺,439.24平方公尺,66平方公尺,(07)3315828,,80,,無,,無,無,yes
高市教幼字第10736786000號,高市教幼字第10736786000號,2018/11/16,高雄市私立福瑞斯特國際藝術幼兒園,李再興,高雄市,苓雅區,私立,[802]憲政路199號,,,,,(07)2236302,,366,"		",無,,無,有,yes
高市教幼字第11135796800號,高市社局五字第23990號,1998/09/01,高雄市政府員工子女非營利幼兒園(委託有限責任高雄市政府員工消費合作社辦理),宋夜生,高雄市,苓雅區,非營利,[802]民權一路85號1樓,1樓,486.6平方公尺,167.4平方公尺,319.2平方公尺,(07)3300853,http://www.kaocoop.com.tw,60,,無,,無,無,no
高市教幼字第10935866800號,高市教幼字第10935866800號,2020/07/31,高雄市英明非營利幼兒園,孫建行,高雄市,苓雅區,非營利,[802]英明路147號,,,,,(07)7160076,評鑑情形：,272,,無,,無,無,no
