reg_no,reg_docno,reg_date,title,owner,city,town,type,address,floor,size,size_in,size_out,tel,url,count_approved,shuttle,pre_public,is_free5,is_after,penalty,has_slip
府教特字第1115022392號,府教特字第64810號,2000/09/04,嘉義市西區世賢國民小學附設幼兒園,翁崇文,嘉義市,嘉義市,公立,[600]世賢路一段687號,1樓,740.837平方公尺,311.433平方公尺,429.404平方公尺,(05)2338264#2208,http://www.loxa.edu.tw/classweb.html?teacher=cy-shet032,120,,無,,無,無,yes
府教特字第1075022945號,89府教特字第64810號,2000/09/04,嘉義市西區垂楊國民小學附設幼兒園,周孟志,嘉義市,嘉義市,公立,[600]垂楊路605號,1樓,935平方公尺,761平方公尺,174平方公尺,(05)2853151#119,https://eduweb.cy.edu.tw/?home=chifu992,90,,無,,無,無,yes
府教特字第1095003338號,嘉府炳教二字第65001號,1976/08/31,嘉義市立幸福幼兒園,李鸝珍,嘉義市,嘉義市,公立,[600]民生南路363號,,,,,(05)2858150#10,www.ches.cy.edu.tw,334,,無,,無,無,yes
府教特字第1115022066號,府教特字第21340號,2002/03/12,嘉義市東區宣信國民小學附設幼兒園,謝聖雅,嘉義市,嘉義市,公立,[600]宣信街266號,,,,,(05)2163831,http://163.27.51.224/1132,180,,無,,無,無,yes
府教特字第1115022445號,教四字第02618號,1974/08/01,國立嘉義大學附設實驗國民小學附設幼兒園,蔡明昌,嘉義市,嘉義市,公立,[600]林森東路46號,,,,,(05)2715358,140.130.211.1,150,,無,,無,無,yes
府教特字第1085023722號,嘉市府教特字第0940105647號,1947/04/16,嘉義市立吳鳳幼兒園,呂秀櫻,嘉義市,嘉義市,公立,[600]中山路260號,,,,,(05)2222835#18,http://www.wfk.cy.edu.tw/,270,,無,,無,無,yes
府教特字第1075024608號,嘉博幼字第11425號,1983/02/21,嘉義市西區博愛國民小學附設幼兒園,張英裕,嘉義市,嘉義市,公立,[600]友愛路822號,,,,,(05)2322863#216,,90,,無,,無,無,yes
府教特字第1115023740號,66教四字第05713號,1977/12/03,嘉義市東區林森國民小學附設幼兒園,吳育楷,嘉義市,嘉義市,公立,[600]林森東路346號,,,,,(05)2762063#137,www.lses.cy.edu.tw,106,,無,,無,無,yes
府教特字第1111515309號,府教字第44836號,1979/06/29,嘉義市西區大同國民小學附設幼兒園,盧淑娟,嘉義市,嘉義市,公立,[600]成功街15號,1樓、2樓,"2,130平方公尺",930平方公尺,"1,200平方公尺",(05)2222114#801,http://eduweb.cy.edu.tw/?home=tteskinder,196,,無,,無,無,yes
府教特字第1111509718號,89府教學字第13952號,2000/03/20,嘉義市東區精忠國民小學附設幼兒園,楊勛凱,嘉義市,嘉義市,公立,[600]林森東路840號,,,,,(05)2760474#18,http://www.loxa.edu.tw/classweb.html?webId=18892,106,,無,,無,無,yes
