reg_no,reg_docno,reg_date,title,owner,city,town,type,address,floor,size,size_in,size_out,tel,url,count_approved,shuttle,pre_public,is_free5,is_after,penalty,has_slip
府教幼字第1103716875號,八七府教學字第15543號,1998/03/02,新竹縣竹北市竹北國民小學附設幼兒園,康靜慧,新竹縣,竹北市,公立,[302]中央路98號,1樓,277.28平方公尺,134.48平方公尺,142.8平方公尺,(03)5552047#137,http://www.cbes.hcc.edu.tw/,30,,無,,無,無,yes
府授教幼字第1129551685號,八八府教學字第107812號,1999/09/10,新竹縣竹北市中正國民小學附設幼兒園,蔡懷萱,新竹縣,竹北市,公立,[302]中山路190號,1樓,252.9平方公尺,126平方公尺,126.9平方公尺,(03)5552464#860,http://163.19.35.112/school/web/index.php,30,,無,,無,無,yes
府授教幼字第1129550381號,府社婦幼字第1000007606J號,1985/11/02,新竹縣竹北市立幼兒園,鄭朝方,新竹縣,竹北市,公立,[302]嘉興路399巷6弄9號,1樓,"1,184.71平方公尺",240.72平方公尺,943.99平方公尺,(03)5515919#335,,40,,無,,無,無,yes
府授教幼字第1129550323號,府社婦幼字第1000007606J號,1982/11/09,新竹縣竹北市立幼兒園中心分班,,新竹縣,竹北市,公立,[302]文山街69號,1樓、2樓,"1,524.91平方公尺",233.89平方公尺,"1,005.05平方公尺",(03)5511804,,90,,無,,無,無,yes
府授教幼字第1129550325號,府社婦幼字第1000007606J號,2000/09/13,新竹縣竹北市立幼兒園尚義分班,,新竹縣,竹北市,公立,[302]尚義街65巷58弄12號,1樓,603.78平方公尺,162.38平方公尺,395.88平方公尺,(03)5560390,,60,,無,,無,無,yes
府授教幼字第1129550322號,府社婦幼字第1000007606J號,1995/07/19,新竹縣竹北市立幼兒園東海分班,,新竹縣,竹北市,公立,[302]東興路一段849號,1樓,389.38平方公尺,252.12平方公尺,,(03)5503634,,60,,無,,無,無,yes
府授教幼字第1129550324號,府社婦幼字第1000007606J號,1987/10/23,新竹縣竹北市立幼兒園聯興分班,,新竹縣,竹北市,公立,[302]新興路174號,1樓、2樓、3樓,"1,369.03平方公尺",332.96平方公尺,776.21平方公尺,(03)5517644,,120,,無,,無,無,yes
府教幼字第1083718224號,府教幼字第1020092888號,2013/08/01,新竹縣竹北市新社國民小學附設幼兒園,張奕財,新竹縣,竹北市,公立,[302]新社40號,1樓,478.48平方公尺,128.48平方公尺,350平方公尺,(03)6561093,http://tw.class.uschoolnet.com/class/?csid=css000000241586,30,,無,,無,無,yes
府授教幼字第1129551527號,府教幼字第1030136491號,2014/08/01,新竹縣竹北市東興國民小學附設幼兒園,張維順,新竹縣,竹北市,公立,[302]嘉豐十一路二段100號,1樓,467平方公尺,295平方公尺,172平方公尺,(03)5502120#150,http://kgdxes.tw.class.uschoolnet.com/,60,,無,,無,無,yes
府教幼字第1083701174號,府教幼字第1030136498號,2014/08/01,新竹縣竹北市興隆國民小學附設幼兒園,葉瑞珠,新竹縣,竹北市,公立,[302]文興路88-1號,1樓、2樓,"3,290平方公尺",971.2平方公尺,618平方公尺,(03)6681799#565,新竹縣竹北市鹿場里29鄰文興路88-1號,120,,無,,無,無,yes
