reg_no,reg_docno,reg_date,title,owner,city,town,type,address,floor,size,size_in,size_out,tel,url,count_approved,shuttle,pre_public,is_free5,is_after,penalty,has_slip
屏府教前字第10943210700號,屏府教社字第0920073966號,2003/04/30,屏東縣屏東市仁愛國民小學附設幼兒園,鍾炳雄,屏東縣,屏東市,公立,[900]仁愛路98號,1樓、2樓,"3,271.21平方公尺",529.89平方公尺,"2,741.32平方公尺",(08)7361649,http://www.raps.ptc.edu.tw,120,,無,,無,無,yes
屏府教前字第10528743600號,屏府教國字第107417號,1997/06/30,屏東縣屏東市民和國民小學附設幼兒園,黃拓榮,屏東縣,屏東市,公立,[900]自立路213號,1樓,"2,487平方公尺",195平方公尺,"2,292平方公尺",(08)7216923,www.mhps.ptc.edu.tw,60,,無,,無,無,yes
屏府教前字第10943240200號,屏府教國字第101869號,1998/06/18,屏東縣屏東市勝利國民小學附設幼兒園,李國政,屏東縣,屏東市,公立,[900]蘭州街2號,1樓、2樓,"19,622.55平方公尺",668.55平方公尺,"18,954平方公尺",(08)7346830#13,163.24.38.12,90,,無,,無,無,yes
屏府教前字第11018713900號,屏府教二字第82410號,1973/10/22,屏東縣屏東市建國國民小學附設幼兒園,施世治,屏東縣,屏東市,公立,[900]建興路36號,1樓、2樓,"1,303.42平方公尺",788.42平方公尺,515平方公尺,(08)7524665,https://www.facebook.com/%E5%B1%8F%E6%9D%B1%E5%B8%82%E5%BB%BA%E5%9C%8B%E5%9C%8B%E5%B0%8F%E9%99%84%E5,76,,無,,無,無,yes
屏府教前字第11155762400號,屏府教國字第80810號,1974/09/06,屏東縣屏東市前進國民小學附設幼兒園,李國賢,屏東縣,屏東市,公立,[900]建國路405巷100弄39號,1樓,604平方公尺,442平方公尺,162平方公尺,(08)7523291#22,www.cjes.ptc.edu.tw,46,,無,,無,無,yes
屏府教特字第10405998400號,屏東教大人字第095005176號,1948/08/01,國立屏東大學附設實驗國民小學附設幼兒園,葉運偉,屏東縣,屏東市,公立,[900]師校巷3號,1樓,"2,231平方公尺",595平方公尺,"1,636平方公尺",(08)7221991,http://tw.pre.urlifelinks.com/school/pttcps-ptc,60,,無,,無,無,yes
屏府教前字第11153630500號,屏府教學字第116564號,1974/02/01,屏東縣屏東市唐榮國民小學附設幼兒園,林春如,屏東縣,屏東市,公立,[900]中山路41號,1樓,"17,953.57平方公尺",745.9232平方公尺,"17,207.64平方公尺",(08)7322306#74,http:www.trps.ptc.edu.tw,60,,無,,無,無,yes
屏府教前字第10879647300號,屏府教國字第105816號,1995/07/06,屏東縣屏東市凌雲國民小學附設幼兒園,許裕呈,屏東縣,屏東市,公立,[900]光大巷61號,1樓,400平方公尺,336平方公尺,64平方公尺,(08)7659025#15,http://www.lyes.ptc.edu.tw/,30,,無,,無,無,yes
屏府教前字第10879652300號,屏府教社字第0920073966號,2003/04/30,屏東縣屏東市民生國民小學附設幼兒園,洪嘉宏,屏東縣,屏東市,公立,[900]安心四橫巷139-1號,1樓、2樓,720平方公尺,360平方公尺,360平方公尺,(08)7216566#81,https://www.msps.ptc.edu.tw/nss/p/index,90,,無,,無,無,yes
屏府教前字第10943734700號,屏府教特字第10210855001號,2013/04/26,屏東縣屏東市公館國民小學附設幼兒園,李忠屏,屏東縣,屏東市,公立,[900]公華街182號,1樓,"1,405.84平方公尺",985.84平方公尺,420平方公尺,(08)7522205,www.ggps.ptc.edu.tw,90,,無,,無,無,yes
