reg_no,reg_docno,reg_date,title,owner,city,town,type,address,floor,size,size_in,size_out,tel,url,count_approved,shuttle,pre_public,is_free5,is_after,penalty,has_slip
府教特字第1110030716號,府教特字第0960055141號,2007/05/29,新竹市香山區茄苳國民小學附設幼兒園,張淑玲,新竹市,新竹市,公立,[300]茄苳路57號,1樓,"1,022平方公尺",402.21平方公尺,619.79平方公尺,(03)5373543#17,https://www.cdps.hc.edu.tw/nss/p/cdpskids,30,,無,,無,無,yes
府教特字第1120126382號,府教特字第0960061807號,2007/06/15,新竹市香山區朝山國民小學附設幼兒園,陳嚴坤,新竹市,新竹市,公立,[300]中華路五段648巷126號,1樓,"1,994.97平方公尺",215.99平方公尺,"1,778.98平方公尺",(03)5374304#101,http://www.csps.hc.edu.tw/cspsapple/,46,,無,,無,無,yes
府教特字第1110119795號,台(72)中字第26801號,1983/07/12,國立新竹科學園區實驗高級中等學校附設幼兒園,張簡瑞璨,新竹市,新竹市,公立,[300]介壽路300號,1樓,"1,825平方公尺","1,175平方公尺",650平方公尺,(03)5777011#5110,kd.nehs.hc.edu.tw/,180,,無,,無,無,yes
府教特字第1130146411號,三六府教國字第03344號,1947/08/01,新竹市香山區香山國民小學附設幼兒園,鄧瑞源,新竹市,新竹市,公立,[300]牛埔東路二六O號,1樓、2樓,"1,096.8平方公尺",490.8平方公尺,606平方公尺,(03)5301205,,120,,無,,無,無,yes
府教特字第1140171470號,三六府教國字第02233號,1947/09/08,新竹市東區東門國民小學附設幼兒園,林啓誠,新竹市,新竹市,公立,[300]民族路33號,1樓、2樓,"2,353.85平方公尺","1,725.77平方公尺",628.08平方公尺,(03)5222109#4100,https://www.facebook.com/profile.php?id=100084367683061,150,,無,,無,無,yes
府教特字第1140171643號,四一府教國字第67472號,1952/08/01,新竹市北區西門國民小學附設幼兒園,許慶恭,新竹市,新竹市,公立,[300]北大路450號,1樓、2樓,"1,395.12平方公尺","1,002.12平方公尺",393平方公尺,(03)5248335,https://sites.google.com/a/cmps.hc.edu.tw/xi-men-you-r-yuan-wang-zhan/,120,,無,,無,無,yes
府教特字第1110119323號,七四府教國字第62657號,1985/06/17,新竹市東區水源國民小學附設幼兒園,陳桂里,新竹市,新竹市,公立,[300]仰德路11號,1樓、2樓,734.25平方公尺,408平方公尺,326.25平方公尺,(03)5751337#11,http//www.syps.hc.edu.tw,90,,無,,無,無,yes
府教特字第1140150683號,七四府教國字第06243號,1985/08/01,新竹市東區新竹國民小學附設幼兒園,胡如茵,新竹市,新竹市,公立,[300]南大路500號,1樓、2樓,920.36平方公尺,492.36平方公尺,428平方公尺,(03)5222153#301,https://sites.google.com/mail.hsps.hc.edu.tw/hsps-kindergarten,152,,無,,無,無,yes
府教特字第1110119276號,六九府教國字第10770號,1980/08/16,新竹市東區竹蓮國民小學附設幼兒園,劉向欣,新竹市,新竹市,公立,[300]食品路226號,,,,,(03)5223066#235,http://163.19.121.3,120,,無,,無,無,yes
府教特字第1110119279號,七四府教國字第81609號,1985/09/11,新竹市香山區內湖國民小學附設幼兒園,陳麗雲,新竹市,新竹市,公立,[300]內湖路109號,1樓,289.14平方公尺,251.34平方公尺,37.8平方公尺,(03)5373184#170,www.nhps.hc.edu.tw,30,,無,,無,無,yes
府教特字第1110128999號,六九府教國字第64162號,1980/08/01,新竹市北區民富國民小學附設幼兒園,吳淑雯,新竹市,新竹市,公立,[300]西大路561號,1樓,"1,467.55平方公尺",859.55平方公尺,608平方公尺,(03)5263793#890,http://tw.class.uschoolnet.com/class/?csid=css000000093572&id=model7&cl=1278553121-2131-5884&mode=co,166,,無,,無,無,yes
府教特字第1110118528號,六八府教國字第63518號,1979/08/15,新竹市東區三民國民小學附設幼兒園,陳進豐,新竹市,新竹市,公立,[300]自由路66號,1樓、2樓,"3,199.29平方公尺","1,900.29平方公尺","1,299平方公尺",(03)5326345#324,https://www.facebook.com/profile.php?id=100066702727714&paipv=0&eav=AfaDgaRroQYQdWlPT_GH49_1hhZt-pXb,180,,無,,無,無,yes
府教特字第1010093091號,一二府教國字第16402號,1923/08/15,新竹市立新竹幼兒園,彭欣怡,新竹市,新竹市,公立,[300]西大路508號,1樓、2樓,"4,630平方公尺","1,623平方公尺","3,007平方公尺",(03)5222597,www.hckd.hc.edu.tw,210,,無,,無,無,yes
府教特字第1130138587號,府教特字第1130138587號,2024/08/01,新竹市立新竹幼兒園虎林分班,,新竹市,新竹市,公立,[300]延平路二段78號,1樓,236.66平方公尺,140.66平方公尺,96平方公尺,(03)5300386,https://www.hckd.hc.edu.tw/nss/p/index,32,,無,,無,無,yes
府教特字第1130138582號,八七府教國字第24643號,1998/04/07,新竹市東區龍山國民小學附設幼兒園,顏美禎,新竹市,新竹市,公立,[300]光復路一段574號,1樓,761.27平方公尺,401.27平方公尺,360平方公尺,(03)5646674,https://www.lsps.hc.edu.tw/nss/p/kindergarten1,120,,無,,無,無,yes
府教特字第1120126352號,八七府教國字第24643號,1998/04/07,新竹市北區南寮國民小學附設幼兒園,李麗娥,新竹市,新竹市,公立,[300]東大路三段465號,1樓,541.45平方公尺,229.47平方公尺,311.98平方公尺,(03)5363448#708,https://www.nlps.hc.edu.tw/nss/p/preschool,60,,無,,無,無,yes
府教特字第1080127488號,八七府教國字第24643號,1998/04/07,新竹市香山區大庄國民小學附設幼兒園,許雅惠,新竹市,新竹市,公立,[300]大庄路48號,1,"2,092.25平方公尺",647.77平方公尺,"1,444.48平方公尺",(03)5401805,https://sites.google.com/ttps.hc.edu.tw/preschool1,90,,無,,無,無,yes
府教特字第1140171645號,八七府教國字第38266號,1998/05/26,新竹市香山區虎林國民小學附設幼兒園,謝佳曄,新竹市,新竹市,公立,[300]延平路二段78號,1樓、2樓,"1,533.472平方公尺",870.472平方公尺,663平方公尺,(03)5381820#851,http://www.hlps.hc.edu.tw,90,,無,,無,無,yes
府教特字第1110119273號,八七府教國字第24643號,1998/04/07,新竹市香山區頂埔國民小學附設幼兒園,曹喩傑,新竹市,新竹市,公立,[300]頂埔路23號,1樓,374平方公尺,220平方公尺,154平方公尺,(03)5386204#100,http://www.dpps.hc.edu.tw/,90,,無,,無,有,yes
府教特字第1140039340號,八八府教國字第24644號,1999/04/14,新竹市香山區港南國民小學附設幼兒園,范兆寅,新竹市,新竹市,公立,[300]西濱路二段581號,1樓,378.37平方公尺,195.37平方公尺,183平方公尺,(03)5398089,http://95kids.tw.class.urlifelinks.com/,30,,無,,無,無,yes
府教特字第1110128589號,八九府教前字第52918號,2000/07/27,新竹市東區建功國民小學附設幼兒園,賴雲鵬,新竹市,新竹市,公立,[300]建功一路104巷22號,1樓,"1,376平方公尺",730.36平方公尺,645.64平方公尺,(03)5713447#815,https://www.ckps.hc.edu.tw/ischool/publish_page/9/,166,,無,,無,無,yes
府教特字第1140133557號,府教特字第0960055141號,2007/05/29,新竹市香山區南隘國民小學附設幼兒園,鄭鈞隆,新竹市,新竹市,公立,[300]南隘路二段31號,1樓,352.32平方公尺,152.32平方公尺,200平方公尺,(03)5371405#300,http://5371405.tw.class.uschoolnet.com/,30,,無,,無,無,yes
府教特字第1090151624號,八七府教國字第24643號,1998/04/07,新竹市東區關東國民小學附設幼兒園,李瑞剛,新竹市,新竹市,公立,[300]關東路53號,1樓,"2,347平方公尺",360平方公尺,"1,987平方公尺",(03)5775645#616,https://sites.google.com/ktps-www.hc.edu.tw/ktps-kide/,90,,無,,無,無,yes
府教特字第1120130877號,府教特字第0950021193號,2006/03/07,新竹市北區舊社國民小學附設幼兒園,李佳穎,新竹市,新竹市,公立,[300]金竹路99號,1樓,806.9平方公尺,535.9平方公尺,271平方公尺,(03)5342023#4100,https://www.jsps.hc.edu.tw/nss/s/preschool/index,90,,無,,無,無,yes
府教特字第1130119581號,七四府教國字第80392號,1985/09/01,新竹市北區北門國民小學附設幼兒園,李敦仁,新竹市,新竹市,公立,[300]水田街33號,1樓、2樓,"3,137.29平方公尺","1,120.29平方公尺","2,017平方公尺",(03)5316668#510,https://reurl.cc/2DG1mr,150,,無,,無,無,yes
府教特字第1120135322號,六七府教前字第48700號,1978/07/21,新竹市北區載熙國民小學附設幼兒園,莊傑志,新竹市,新竹市,公立,[300]東大路二段386號,1樓,"1,201.7平方公尺",486.7平方公尺,715平方公尺,(03)5316675#3105,http://www.thps.hc.edu.tw/dyna/menu/index.php?account=thpskid,120,,無,,無,無,yes
府教特字第1070122341號,六八府教國字第72209號,1979/09/01,新竹市東區東園國民小學附設幼兒園,曾玉蓮,新竹市,新竹市,公立,[300]園後街25號,1樓,771.14平方公尺,381.54平方公尺,389.6平方公尺,(03)5716411,http://tw.class.uschoolnet.com/class/?csid=css000000056429,120,,無,,無,無,yes
府教特字第1130138580號,台(87)國字第87107384號,1946/01/01,國立清華大學附設實驗國民小學附設幼兒園,李佳蓮,新竹市,新竹市,公立,[300]四維路47號,1-3樓,"1,725平方公尺",729平方公尺,996平方公尺,(03)5286128#601,http://www.sctcps.hc.edu.tw/,240,,無,,無,無,yes
府教特字第1110119275號,府教特字第1020053511號,2013/08/01,新竹市東區青草湖國民小學附設幼兒園,周雯娟,新竹市,新竹市,公立,[300]明湖路1211號,1樓、2樓,628.4089平方公尺,358.4089平方公尺,270平方公尺,(03)5200360#2060,https://www.cthps.hc.edu.tw/nss/p/kindergarten,90,,無,,無,有,yes
府教特字第1130143880號,府教特字第1120133351號,2023/08/01,新竹市東區科園國民小學附設幼兒園,徐美玉,新竹市,新竹市,公立,[300]科學園路171號,1樓,303.29平方公尺,203.9平方公尺,99.39平方公尺,(03)6668421#206,https://www.facebook.com/profile.php?id=100095480385065&mibextid=LQQJ4d,46,,無,,無,無,yes
府教特字第1010019660號,八一府教國字第70073號,1992/01/06,新竹市私立延平幼兒園,黃嘉慧,新竹市,新竹市,私立,[300]延平路二段246號,1,381.26平方公尺,281.26平方公尺,100平方公尺,(03)5307869,www.ypkd.hc.edu.tw,60,"		",無,,無,無,yes
府教特字第1010029550號,府社婦字第1000140216號,2011/11/30,新竹市私立維也那書院幼兒園,陸那,新竹市,新竹市,私立,[300]建美路57、59號1-3樓,3,265.44平方公尺,192.83平方公尺,,(03)5750003,,55,,無,,無,無,yes
府教特字第1010027043號,府社婦字第35741號,2001/05/15,新竹市私立福曼莎幼兒園,黃敬堯,新竹市,新竹市,私立,[300]延平路一段214巷52號,1-2F,664.89平方公尺,479.31平方公尺,185.58平方公尺,(03)5213357,http://www.formosakid.tw/,150,"		",無,,無,有,yes
府教特字第1120198116號,八七府教國字第80170號,1998/10/21,新竹市私立同信蒙特梭利福曼莎幼兒園,廖燕芬,新竹市,新竹市,私立,[300]振興路109巷12弄20號,一、二樓,476.92平方公尺,314.03平方公尺,106.77平方公尺,(03)5250006,,60,,無,,無,有,yes
府教特字第1120017445號,府教國前字第77622號,1991/05/13,新竹市私立研田賦育幼兒園,郭元蕙,新竹市,新竹市,私立,[300]北新街5號,一樓,233.88平方公尺,136.45平方公尺,97.43平方公尺,(03)5221204,ytfuyu2023@gmail.com,60,,無,,無,無,yes
府教特字第1120071020號,(75)府社福托字第83865號,1986/09/30,新竹市私立華興幼兒園,白欣蓉,新竹市,新竹市,私立,[300]東山街22號1-2樓,1-2,265.5平方公尺,167平方公尺,98.5平方公尺,(03)5714730,,69,"		",113-115,,無,無,yes
府教特字第1030221903號,九二府教前字第0920070528號,2003/08/25,新竹市私立綠太陽幼兒園,呂慧琪,新竹市,新竹市,私立,[300]海埔路177號,1至2樓,"1,112.95平方公尺",470平方公尺,581.05平方公尺,(03)5397168,http://greensun177.myweb.hinet.net/,135,"		",無,,無,無,yes
府教特字第1010041918號,(90)府社婦字第62117號,2001/08/23,新竹市私立東方幼兒園,潘惠珍,新竹市,新竹市,私立,[300]大庄路269號1-3樓,1-3,"1,173.61平方公尺",959.64平方公尺,213.97平方公尺,(03)5388043,,140,,113-115,,無,無,yes
府教特字第1010025048號,府社婦字第0940066047號,2005/07/12,新竹市私立研田幼兒園,郭元蕙,新竹市,新竹市,私立,[300]中山路40巷25號1、2樓,1至2樓,341.23平方公尺,275.84平方公尺,,(03)5223506,,70,"		",無,,無,有,yes
府教特字第1110110736號,八五府教國字第12113號,1996/02/14,新竹市私立天仁幼兒園,蔡俊儒,新竹市,新竹市,私立,[300]東大路三段467巷52號,1樓、2樓,633.19平方公尺,353.72平方公尺,279.47平方公尺,(03)5367718,tsai675@yahoo.com.tw,90,"		",無,,無,無,yes
府教特字第1010026864號,府社婦字第68191號,2000/09/21,新竹市私立菲曼伲藝術幼兒園,王勝樑,新竹市,新竹市,私立,[300]東華路62號1-2樓,1-2樓,889.99平方公尺,577.65平方公尺,312.34平方公尺,(03)5300199,family.urb.com.tw,156,"		",113-115,,無,有,yes
府教特字第1130060048號,府社婦字第38560號,2000/06/07,新竹市私立光復高級中學附設實驗幼兒園,李詩慶,新竹市,新竹市,私立,[300]光復路二段153號1-2樓,1-2,"1,530.3平方公尺","1,530.3平方公尺",,(03)5753595,https://kfkid.topschool.tw/Home/Main,234,"		",無,,有，人數：34,有,yes
府教特字第1070117946號,八五府教國字第84422號,1996/11/21,新竹市私立菲曼伲智兒館藝術幼兒園,王勝樑,新竹市,新竹市,私立,[300]振興一街127號,地上1層,373.13平方公尺,211.22平方公尺,161.91平方公尺,(03)5612439,http://family.urb.tw/index.php,60,"		",113-115,,無,無,yes
