reg_no,reg_docno,reg_date,title,owner,city,town,type,address,floor,size,size_in,size_out,tel,url,count_approved,shuttle,pre_public,is_free5,is_after,penalty,has_slip
南市教特(一)字第1050709563H號,省府教四字第42294號,1988/03/17,臺南市中西區成功國民小學附設幼兒園,鄭國斌,臺南市,中西區,公立,[700]成功路235號,1樓,670平方公尺,270平方公尺,400平方公尺,(06)2294395#12,https://class.tn.edu.tw/modules/tad_web/index.php?WebID=7173,90,,無,,無,無,yes
南市教特(一)字第1080859381號,教國二字第13933號,1953/08/01,臺南市中西區協進國民小學附設幼兒園,王念騏,臺南市,中西區,公立,[700]金華路四段17號,1樓、2樓,"7,074平方公尺",675平方公尺,"6,399平方公尺",(06)2202173,http://120.115.16.5:8080/chinese2008/,270,,無,,無,無,yes
南市教特(一)字第1050709563G號,南市教國字第46058號,1978/08/28,臺南市中西區進學國民小學附設幼兒園,周生民,臺南市,中西區,公立,[700]南寧街47號,1樓,"2,532平方公尺",945平方公尺,"1,587平方公尺",(06)2130643,http://chpskg.tw.class.uschoolnet.com/,90,,無,,無,無,yes
南市教特(一)字第1111030422號,致申文市教字第0307號,1946/05/01,臺南市立第一幼兒園,李敏鳳,臺南市,中西區,公立,[700]南門路26之1號,1樓、2樓,"3,406平方公尺","1,084平方公尺","2,322平方公尺",(06)2135779,https://class.tn.edu.tw/5651,136,,無,,無,無,yes
南市教特(一)字字第1111030422號,南市教二字第39210號,1976/07/26,臺南市中西區忠義國民小學附設幼兒園,林泓成,臺南市,中西區,公立,[700]忠義路二段2號,1樓,"17,946平方公尺",424平方公尺,"17,522平方公尺",(06)2222768#802,http://www.cies.tn.edu.tw/,90,,無,,無,無,yes
南市教特(一)字第1111030422號,教國字第11623號,1949/07/01,國立臺南大學附設實驗國民小學附設幼兒園,楊怡婷,臺南市,中西區,公立,[700]樹林街二段31號,1樓、2樓、3樓,"35,173平方公尺",910平方公尺,"34,263平方公尺",(06)2132566#600,http://www.tntcps.tn.edu.tw/,120,,無,,無,無,yes
南市教特(一)字第1060919098G號,南市教特(一)字第1060919098G號,2017/08/01,臺南市立中山國民中學附設幼兒園,林國斌,臺南市,中西區,公立,[700]南寧街45號,1樓,239.16平方公尺,149.16平方公尺,90平方公尺,(06)2134792,https://sites.google.com/a/csjhs.tn.edu.tw/kindergarten/,30,,無,,無,無,yes
無字第無號,無字第無號,2020/12/01,國立臺南大學附屬啟聰學校幼兒部,陳秀雅,臺南市,中西區,公立,[700]北門路一段109號,,,,,(06)2222936,,0,,無,,無,無,yes
南市教幼字第1010356636號,南市教國字第219936號,2000/06/28,臺南市私立佳恩幼兒園,吳嘉隆,臺南市,中西區,私立,[700]金城街25號,2,"1,590.47平方公尺",780.44平方公尺,810.03平方公尺,(06)2952628,http://spc.tn.edu.tw/k090/,150,"		",110-112,,無,無,yes
南市教幼字第1010372289號,南市教國字第08288號,1985/05/11,臺南市私立興文齋幼兒園,林宗正,臺南市,中西區,私立,[700]民權路二段152號,1~2樓,633.79平方公尺,341.12平方公尺,91.34平方公尺,(06)2200600,https://zh-tw.facebook.com/swjtn/,60,,無,,無,無,yes
南市教幼字第1010339170號,南市社兒字第09713512530號,2008/01/30,臺南市私立小牛頓幼兒園,葉榮芳,臺南市,中西區,私立,[700]開山路122巷56弄3號,1.2.3樓,326.9平方公尺,326.9平方公尺,,(06)2235765,http://hipage.hinet.net/小牛頓,60,,110-112,,有，人數：30,有,yes
