reg_no,reg_docno,reg_date,title,owner,city,town,type,address,floor,size,size_in,size_out,tel,url,count_approved,shuttle,pre_public,is_free5,is_after,penalty,has_slip
中市教幼字第1120084073號,教二字第51478號,1973/10/17,臺中市中區光復國民小學附設幼兒園,張毅宏,臺中市,中區,公立,[400]三民路二段148號,1樓、2樓、3樓,"6,447平方公尺","1,527平方公尺","4,920平方公尺",(04)22263630,www.facebook.com/taichung.gfes,210,,無,,無,無,yes
中市教幼字第1120071496號,中市教幼字第1110103596號,2022/11/29,臺灣土地銀行臺中分行職場互助教保服務中心(委託社團法人大中華社會企業創新策略發展協會辦理),莊凱如,臺中市,中區,私立,[400]自由路2段1號3樓,,,,,(04)22293766,評鑑情形：,60,,無,,無,無,no
中市教幼字第1120083981號,教二字第54056號,1973/10/18,臺中市東區臺中國民小學附設幼兒園,吳宛玫,臺中市,東區,公立,[401]大公街100號,1樓,"1,360平方公尺",900平方公尺,460平方公尺,(04)22815312#10,https://tces.tc.edu.tw/p/412-1167-1586.php,120,,無,,無,無,yes
中市教幼字第1140074293號,教國字第30522號,1986/04/30,臺中市東區大智國民小學附設幼兒園,楊雅娟,臺中市,東區,公立,[401]大智路359號,1樓,"1,901.7平方公尺","1,183.7平方公尺",718平方公尺,(04)22804546#10,http://tw.pre.urlifelinks.com/school/dzes-tc,152,,無,,無,無,yes
中市教幼字第1120066561號,教二字第50223號,1973/10/18,臺中市東區成功國民小學附設幼兒園,余益興,臺中市,東區,公立,[401]旱溪西路一段300號,,,,,(04)22138203,http://140.128.179.8/~ckes021,60,,無,,無,無,yes
中市教幼字第1120067880號,90府教特字第23285號,2001/02/21,臺中市東區力行國民小學附設幼兒園,聶台璋,臺中市,東區,公立,[401]進化路223號,1樓,"2,439平方公尺","1,639平方公尺",800平方公尺,(04)23604412#770,https://sites.google.com/a/lxes.tc.edu.tw/kid/,90,,無,,無,無,yes
中市教幼字第1110067784號,教國字第34391號,1978/06/26,臺中市東區進德國民小學附設幼兒園,莊慶鑫,臺中市,東區,公立,[401]進化路135號,1樓、2樓,"1,886平方公尺","1,478平方公尺",408平方公尺,(04)22135723#790,140.128.182.12/eweb/jdestc,136,,無,,無,無,yes
中市教幼字第1140074288號,教二字第71304號,1975/01/13,臺中市東區樂業國民小學附設幼兒園,鄭麗娟,臺中市,東區,公立,[401]樂業路60號,1樓、2樓,"5,454平方公尺","1,057平方公尺","4,397平方公尺",(04)22121293#770,http://www.lyes.tc.edu.tw/calasshome/kid,182,,無,,無,無,yes
中市教幼字第1130064701號,府教國字第142395號,1999/10/14,臺中市私立地球村幼兒園,廖萬池,臺中市,東區,私立,[401]東英十五街155號,,,,,(04)22133931,http://www.jzyuan.org/,180,,113-115,,無,無,yes
中市教幼字第1010012386號,中市府社福字第7512號,1997/11/18,財團法人中華基督教衛理公會附設臺中市私立衛道幼兒園,,臺中市,東區,私立,[401]力行路69號,一、二樓,"1,721.77平方公尺",286.16平方公尺,"1,435.61平方公尺",(04)23600446#10,http://weidau.topschool.com.tw,120,,113-115,,有，人數：42,無,yes
中市教幼字第1010016735號,府社福字第5902號,1970/01/01,臺中市私立瑞光基金會附設瑞光幼兒園,,臺中市,東區,私立,[401]建德街387號,1樓,"2,164.1平方公尺",659.1平方公尺,"1,505平方公尺",(04)22110419,,130,,無,,有，人數：40,無,yes
中市教幼字第1010021322號,中市府社婦字第9408號,2005/04/14,臺中市私立東區劍橋幼兒園,楊錦秀,臺中市,東區,私立,[401]東福二街9號1樓,1樓,451.47平方公尺,287.91平方公尺,163.56平方公尺,(04)22816001,,95,,無,,有，人數：15,無,yes
中市教幼字第1120092280號,府教國字第100476號,1998/07/17,臺中市私立育德幼兒園,蕭玉貞,臺中市,東區,私立,[401]忠孝路197號,1-2,"2,775.59平方公尺","1,090.13平方公尺","1,685.46平方公尺",(04)22816879,,90,,113-115,,無,無,yes
